Alabama                           1    1           1              108.3061694           0  1042    12     9     3     3     1     3     102640 107.9276642           101   2   1  38   1   1   1   1   1   1   1   2   1   1   1   1   2   1   1   1   1   2   1   2   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   2  11   1   1   1   2   2   2   1   1   1   2   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   2   5   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   2   1   1   1   1   1   1   1   2   5   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   2   5   1   2   2   2   2   2   2   2   2   2   2   2   1   2   2   2   2   2   2   2   C   1   1   1   1   1   1   1   1   5   1   1   1   1   1   1   1   1   5   1   1   1   1   1   1   5   2   1   2   2   2   2   A   A   A   A   A   A   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   2   1   2   3   1   1   1   1   1   2   2   2   1   2   2   2   1   3   1   1   1   A   A   A   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   2   1   1   2   6   2   2   1   2   2   2   2   1   1   1   A   1   1   1   1   1   2   1   2   1   2   4   1   2   1   2   2   2   1   1   1   1   1   1   2   2   1   1   1   1   1   1   1   1   4   3   4   1   1   3   4   1   4   1   1   1   1   A   A   A   A   A   A   A   A   A   1   2   2   2   1   2   2   2   2   2   2   2   1   2   2   2   2   2   2   1   1   1   2   A   A   A   A   A   A   A   2   A   A   A   A   A   A   A   A  10   2   1   1   1   1   2   2   2   2                                                                2   A   A   A   A   A   A                                                                2   A   A   A   A   A   A                                                                1   1   1   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   1   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   1 2
Alabama                           1    2           2              374.4020091           0   366     6     1     3     3     1     1     1026401178.5407808           201   1   A   C   1   1   2   2   2   2   2   2   2   2   1   2   2   2   2   1   2   1   2   1   2   2   1   1   1   2   2   1   1   1   1   1   2   1   2   1   2   2   2   2   1   1   1   1   1   2   1   1   1   2   2   2   2   2   2   2   1   2   2   2   1   2   2   1   2   1   1   2   2   2   2   1   2   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   2   1   1   1   2   1   2   1   A   A   A   A   A   C   C   C   C   C   C   C   1   2   2   2   2   1   1   2   1   1   2   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   1   2   1   1   2   2   1   2   1   1   1   1   2   1   1   2   1   1   2   2   2   1   3   4   3   2   3   3   3   2   3   1   4   3   2   A   A   A   A   A   A   A   A   A   1   2   2   1   1   2   2   2   2   2   1   2   2   2   1   1   1   2   1   1   1   2   2   1   2   2   1   1   1   2   2   A   A   A   A   A   A   A   A  10   2   2   1   2   2   1   2   2   2                                                                2   A   A   A   A   A   A                                                                2   A   A   A   A   A   A                                                                1   2   2   A   2   2   1   1   2   2   2   2   1   2   1   1   2   1   1   2   2   2   2   2   2   2   1   2   2   2   2   2   2   2   2   1   1   1   1   2   2   2   1   1   2   2   2   1   2   2   2   2   2   2   2   2   2   1   1   2   2   2 2
Alabama                           1    2           2              374.4020091           0   366     6     1     3     3     1     1     1026401178.5407808           202   2   A  38   1   1   1   1   2   2   2   2   1   2   1   1   2   1   2   1   2   1   1   1   2   1   1   1   1   2   1   1   1   1   1   1   1   2   2   1   1   1   1   1   1   1   1   1   1   4   1   1   1   2   2   2   1   1   1   2   1   1   1   2   1   1   1   1   1   1   1   1   1   1   1   1   3   1   1   2   1   1   1   2   1   2   1   1   A   1   2   1   1   2   A   A   2   2   1   1   1   2   2   1   2   2   1   1   1   1   2   2   1   1   1   2   1   A   A   A   A   1   2   1   1   2   2   1   2   1   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   1   A   1   1   1   2   2   2   1   1   1   1   1   1   2   1   2   2   1   1   1   2   1   1   1   5   2   1   2   2   2   2   2   2   1   2   2   2   2   0   1   1   1   1   1   1   1   1   A   A   A   A   A   2   1   1   1   1   1   1   1   1   1   1   2   1   1   1   1   1   2   1   1   1   2   1   A   2   2   2   1   1   1   1   2   1   1   2   2   2   1   1   3   1   2   1   1   1   2   1   1   1   1   1   1   2   2   1   2   1   2   1   2   2   1   4   3   3   1   2   2   2   1   3   1   3   1   1   A   A   A   A   A   A   A   A   A   2   3   2   1   1   2   2   2   2   2   2   1   1   1   1   1   1   1   1   1   1   2   2   1   1   1   1   1   2   2   2   A   A   A   A   A   A   A   A   8   2   2   1   1   2   2   2   2   2                                                                2   A   A   A   A   A   A                                                                2   A   A   A   A   A   A                                                                1   1   1   A   1   1   1   1   2   2   2   1   1   2   1   2   2   1   2   1   1   1   1   2   2   2   2   1   1   2   2   2   2   2   2   2   2   2   1   2   1   1   1   1   1   1   2   1   1   2   2   2   2   1   1   1   1   2   1   2   1   2 2
Alabama                           1    4           5              220.5929030           0   541     8     6     3     3     1     2     102640 330.8893545           501   2   2  50   2   2   1   2   2   2   2   2   1   2   1   1   1   1   2   1   1   2   2   2   2   2   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   1   2   2   1   1   2   1   1   2   2   1   1   1   1   1   1   2   2   2   2   2   1   1   1   2   1   1   2   5   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   2   1   1   1   1   1   1   2   2   1   2   1   2   1   2   1   2   2   2   1   1   2   1   1   2   3   2   2   2   2   2   2   2   2   2   2   2   2   2   C   1   1   1   A   A   A   1   1   2   1   2   2   2   2   2   1   1   1   2   2   2   1   1   1   2   1   1   2   1   2   3   2   2   2   2   2   2   2   1   2   2   A   2   2   2   2   2   2   2   2   2   2   C   1   1   2   2   1   2   1   2   1   1   1   1   2   2   1   2   1   1   1   1   2   1   2   4   4   2   2   3   2   3   3   1   1   1   1   A   A   A   A   A   A   A   A   A   2   2   1   1   1   2   2   2   2   2   2   2   2   2   2   2   2   2   1   1   2   2   2   A   A   A   A   A   A   A   2   A   A   A   A   A   A   A   A   3   2   2   1   2   1   1   2   2   2                                                                2   A   A   A   A   A   A                                                                2   A   A   A   A   A   A                                                                1   1   1   2   2   2   2   2   2   2   2   2   2   2   1   2   2   2   2   1   1   1   1   1   1   1   1   1   1   1   1   1   2   2   2   1   1   1   1   1   2   2   2   1   2   2   2   1   1   1   1   1   1   1   1   1   1   1   1   2   1   2 2
Alabama                           1    4           5              220.5929030           0   541     8     6     3     3     1     2     102640 330.8893545           502   2   2  56   2   2   1   1   2   2   2   2   1   2   1   1   2   1   2   1   1   1   1   1   1   1   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   2   1   1   1   1   1   1   1   1  11   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1  11   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1  11   1   1   1   1   1   1   1   1   1   1   1   1   1  11   1   1   1   A   A   A   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1  11   1   1   1   1   1   1   1   1   1   1   A   1   1   1   1   1   1   1   1   1   1  11   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   3   3   4   4   2   2   3   3   2   1   1   4   1   A   A   A   A   A   A   A   A   A   2   2   1   1   1   2   2   2   2   1   1   1   1   2   2   1   1   2   1   1   1   1   2   A   A   A   A   A   A   A   1   2   1   2   2   1   2   2   2  17   2   1   1   2   1   2   2   2   2                                                                2   A   A   A   A   A   A                                                                1   2   2   1   2   2   2                                                                1   1   1   2   2   2   2   2   2   2   2   2   2   2   1   2   2   2   2   1   1   1   1   2   2   2   2   1   1   1   1   2   1   2   2   2   1   1   1   1   1   1   1   1   1   1   1   1   1   2   1   1   1   1   1   1   1   1   1   1   1   2 2
Alabama                           1    5           7              244.8956533           0   495     6     4     3     4     1     1     103062 385.4406593           701   2   A  42   1   1   2   1   2   2   2   2   1   1   1   1   2   1   1   1   1   1   2   2   2   1   1   1   1   2   2   1   1   1   2   2   1   1   1   1   1   1   1   1   1   2   2   2   1   2   1   1   1   2   2   2   1   1   1   2   1   1   1   1   1   1   1   1   1   1   2   1   2   1   1   2   2   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   1   1   1   1   2   1   2   1   1   1   2   A   A   A   A   1   1   1   1   2   1   1   2  11   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   1   A   1   1   1   1   1   2   2   2   1   1   1   1   1   1   2   2   1   2   1   2   2   1   2   2   1   1   1   2   1   2   1   2   1   2   1   1   1   2   1   1   1   1   2   1   1   1   A   A   A   A   A   2   2   2   1   1   1   1   2   1   2   1   2   1   1   1   1   2   2   2   2   1   2   2   A   2   1   2   2   1   2   2   2   2   1   2   1   2   1   2   1   1   2   2   2   1   2   1   2   1   1   2   1   2   2   2   2   2   1   2   1   2   2   3   4   2   3   1   4   3   1   1   1   2   3   1   A   A   A   A   A   A   A   A   A   1   3   2   1   2   2   2   2   2   1   1   2   1   2   2   1   1   1   1   1   1   1   2   2   2   2   1   1   1   1   1   1   1   2   1   1   1   1   1  12   2   2   1   1   1   2   2   2   2                                                                2   A   A   A   A   A   A                                                                2   A   A   A   A   A   A                                                                1   1   1   A   1   1   1   1   2   2   2   2   1   1   1   1   2   1   1   2   2   1   1   2   2   2   2   1   1   1   2   2   2   2   2   1   2   2   2   1   1   1   2   1   2   1   2   1   C   C   C   C   C   C   C   C   C   C   C   C   C   C 2
Alabama                           1    5           7              244.8956533           0   495     6     4     3     4     1     1     103062 385.4406593           702   2   A  46   1   1   2   1   1   1   1   1   1   1   1   1   2   1   2   1   1   1   2   2   2   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   2   1   1   1   2   2   2   1   1   1   2   1   1   1   1   1   1   1   1   1   1   1   1   2   1   1   1   2   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   1   1   1   1   1   1   1   1   1   1   1   A   A   A   A   1   1   1   1   2   1   1   1  11   1   1   1   2   1   A   A   A   A   A   A   A   2   1   2   1   1   2   1   2   2   1   2   1   2   A   A   A   A   2   1   1   1   1   1   2   1   1   1   1   1   1   2   1   1   2   1   2   2   2   2   2   A   A   A   A   A   A   1   A   1   1   1   1   1   2   2   2   1   1   1   1   1   1   2   2   1   2   1   2   2   1   1   2   1   1   1   2   1   2   1   2   1   2   1   1   1   2   1   1   1   1   2   1   1   1   A   A   A   A   A   2   2   2   1   1   1   1   2   1   2   1   2   1   1   1   1   2   2   2   2   1   2   2   A   2   1   2   2   1   2   2   2   2   1   2   1   2   1   2   1   1   2   2   2   1   2   1   2   1   1   2   1   2   2   2   2   2   1   2   1   2   2   3   4   2   3   1   4   3   1   1   1   2   3   1   A   A   A   A   A   A   A   A   A   1   3   2   1   2   2   2   2   1   1   1   2   1   2   2   1   1   1   1   1   1   1   2   2   2   2   1   1   1   1   1   1   1   2   1   1   1   1   1  12   2   2   1   1   1   2   2   2   2                                                                2   A   A   A   A   A   A                                                                2   A   A   A   A   A   A                                                                1   1   1   A   1   1   1   1   2   2   2   2   1   1   1   1   2   1   1   2   2   1   1   2   2   2   2   1   1   1   2   2   2   2   2   1   2   2   2   1   1   1   2   1   2   1   2   1   2   2   2   2   2   2   2   2   2   2   2   2   2   1 2
Alabama                           1    5           8              157.2407615           1   625    12    -1     3     4     1     2     103062 157.2407615           801   2   1  27   1   1   1   1   2   1   1   2   1   1   1   1   2   1   2   1   1   2   2   2   1   1   1   1   1   1   1   1   1   1   1   2   1   1   1   1   1   1   1   1   1   1   1   1   1   5   1   1   1   1   1   2   1   1   1   2   1   1   1   1   1   1   1   1   2   1   1   2   1   1   2   1   5   1   1   1   1   1   1   1   1   2   1   1   1   2   1   1   1   1   1   1   2   1   1   1   1   1   1   1   1   5   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   5   1   1   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   C   A   A   A   A   A   A   A   A   A   1   1   1   1   1   1   1   1   5   1   1   1   1   1   1   5   2   1   2   2   2   2   A   A   A   A   A   A   1   1   1   1   1   1   1   1   2   1   1   1   2   1   1   1   2   1   1   1   1   1   1   1   1   5   1   1   2   2   1   1   1   1   1   2   2   1   1   5   1   1   1   A   A   A   1   1   1   1   1   1   1   1   1   1   2   1   1   1   1   1   1   1   1   1   1   1   2   1   5   1   1   1   1   1   1   1   1   1   2   A   1   1   1   1   1   1   1   1   1   1   5   1   1   2   1   1   2   1   1   1   1   1   1   1   1   1   1   1   1   2   1   2   2   3   3   4   3   1   2   3   3   3   1   2   2   1   A   A   A   A   A   A   A   A   A   1   1   2   1   1   2   2   2   2   2   2   2   2   1   2   1   1   2   1   1   1   2   2   A   A   A   A   A   A   A   2   A   A   A   A   A   A   A   A   9   2   1   1   2   1   2   2   2   2                                                                1   1   2   2   2   2   1driver`s education                                              2   A   A   A   A   A   A                                                                1   1   1   2   2   2   2   1   2   1   1   2   2   2   2   1   2   2   2   1   1   1   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   1   2   2   2   2   2   2   2   2   2   2   2   1   2   2 2
Alabama                           1    5          10              244.8956533           0   887     5    -1     3     4     1     1     103062 770.8813186          1003   2   A  13   1   2   1   1   2   2   2   2   1   2   1   1   1   1   2   1   1   1   2   1   2   1   1   2   1   2   2   1   1   1   2   2   2   2   2   1   2   2   1   2   1   1   1   2   1   5   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   1   1   1   1   1   1   2   1   2   1   2   A   1   1   1   1   1   A   A   2   2   2   2   2   2   2   2   2  11   2   1   2   1   2   2   2   1   1   2   2   A   A   A   A   2   2   2   1   2   2   2   1   5   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   2   A   1   2   1   2   2   2   2   2   1   1   2   1   1   1   2   1   2   2   1   2   2   2   2   8   2   2   2   2   2   2   2   2   2   2   2   2   2   0   2   1   1   1   1   1   1   1   A   A   A   A   A   1   1   2   2   2   1   1   1   2   2   1   1   1   1   2   1   1  11   1   1   1   2   1   A   1   2   2   1   1   1   2   1   2   1   2   1   1   2   1  10   1   1   1   2   1   2   1   2   1   1   1   1   2   1   1   2   1   2   2   1   1   2   4   4   3   4   2   1   3   3   4   1   1   4   1   A   A   A   A   A   A   A   A   A   2   3   2   1   1   2   2   2   2   2   2   2   1   1   2   1   2   2   2   1   2   1   2   1   1   1   1   1   1   1   1   1   1   2   1   1   1   1   2   3   2   1   1   2   2   1   2   2   2                                                                2   A   A   A   A   A   A                                                                1   2   2   1   2   2   2                                                                1   2   2   A   2   2   2   2   2   2   2   2   1   2   1   1   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   1   2   1   1   1   2   2   2   2   2   2   2   2   1   2   2   2   2   2   2   2   2   1   2   2   2   2   2 2
Alabama                           1    5          10              244.8956533           0   887     5    -1     3     4     1     1     103062 770.8813186          1004   2   A  24   2   2   1   2   2   2   2   2   2   2   1   2   2   2   2   1   2   2   2   2   2   2   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   1   2   1   1   1   1   2   2   2   1   2   A   2   2   1   1   2   A   A   2   1   1   1   2   2   2   2   2   0   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   2   1   1   1   2   2   2   1   A   A   A   A   A   1   1   1   2   2   1   1   2   1   2   1   1   1   1   2   2   1   2   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   1   2   2   2   1   2   2   2   2   1   1   2   2   2   2   2   1   2   2   2   2   2   3   4   1   2   2   1   3   1   4   1   1   1   1   A   A   A   A   A   A   A   A   A   2   3   2   2   1   2   2   2   2   2   1   2   2   2   1   2   2   2   2   2   2   2   2   1   1   1   2   2   2   1   2   A   A   A   A   A   A   A   A  12   2   2   1   2   2   1   2   2   2                                                                2   A   A   A   A   A   A                                                                1   2   2   2   2   2   1administration                                                  1   1   2   A   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   1   2   2   2   2   2   1   1   1   1   2   2   2   1   1   2   2   1   1   2   2   2   2   2   2   2   2   2   2   2   2   2   1 2
