01Alabama                     0186              23.5000000 369040      4Web                            Paper (CMS UserID: 13)         Web                            Web                            Principal                                                          Head Nurse                                                         Teacher                                                               Principal                                                              121111A2111111211121111A2111111211211111A2111111212122AAAAAAAAAAAAAAA                                                                                                     11112211121111111111111111111111111111111111111112AAAA2221211122211222221122212222333322222222AAA6222112111211222A222222222A211111111222222A22222222222C22AAAAAAAAAAAAAAAAAAAAA222222222222222221111211111111111111111111111111111222212111322211221122222111132AAA21222222221222222222AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA222312AAAAAAAA             AAAAAAAAAAAA                                                                                                     AAAAAAAAAAA                                                                                                     AAAAAAAAAAAA                                                                                                     
01Alabama                     0304              14.7551692 363010      2Web                            Web                            Web                            Web                            Director of Child Nutrition Services                               Director of Child Nutrition Services                               Director of Child Nutrition Services                                  Director of Child Nutrition Services                                   122121A2111221131222221A2111221132222211A1111221132332AAAAAAAAAAAAAAA                                                                                                     1111112AAA11111111111111111111111111111C11111C1112AAAA22222111222112222211222222C222332222C221322651221222211C222A22CCC2222A222222222222222A2122222CC22222AAAAAAAAAAAAAAAAAAAAA2222222222222223C2C1122222C1111111111C112CC1111C11122221212131211C21222322231112111122CCCCCCCCCCCCCC2222AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA2C3C11C2CC1133             112222212222                                                                                                     2AAAAAAAAAA                                                                                                     122222212222                                                                                                     
01Alabama                     0453              18.4500000 356400      3Web                            Web                            Web                            Web                            Director of School Operations and Student Services                 Director of School Operations and Student Services                 Director of School Operations and Student Services                    Director of School Operations and Student Services                     211112121122111621111121211221116211111212112211162331212221221122222                                                                                                     11111111111111111111111111111111111111111111111111112111111111111111221111122222133333211112111111521112222111112A122222222A2222111112C2221111C111222112113333333333331132133131111C111111111C121111111111111112111111111111111111122211111321111111123222311132AAA21111221211112222221111111111112222212222111112222211112222222111211111411111112111111             411122222121 dinistrtion                                                                                         12212222222                                                                                                     122222222221 EDUCATION ADMINISTRATION                                                                            
01Alabama                     0483              14.7551692 363010      2Web                            Web                            Web                            Web                            At Risk Director                                                   At Risk Director                                                   At Risk Director                                                      At Risk Director                                                       111112121122111611121121211221116211211212112211162332AAAAAAAAAAAAAAA                                                                                                     1111122AAA1111111111111111111111111111111111111112AAAA2221221122111222222C22222223333322221211222612222222222A222A222222222A222222112222222A2122222222222131321221111111311111122211222112221122211121122221111111111211122111111111121111132211111212322231113112222111222211112222222AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA22221111111111             812222222221 History                                                                                             12222222221 English                                                                                             122122222221 Counseling  Psychology                                                                              
01Alabama                     0559              18.4500000 356400      3Web                            Web                            Web                            Web                            Supervisor of Safety                                               Maintenance Supervisor                                             Supervisor of Safety                                                  Supervisor of Safety                                                   122222121112111612222121211121116122221212111211162222AAAAAAAAAAAAAAA                                                                                                     2111111122111111111111111111111111111111111111111112222222211111111222221121122212333311111111133431121111211111121211111111211111111112222A21211222112112AAAAAAAAAAAAAAAAAAAAA111111111111111311111222112211111111111122121111111112212112222211131122222311112AAA111112112111122211111111222111222122111221111111122112211112222C2111211222222AAAAAAAAA             AAAAAAAAAAAA                                                                                                     AAAAAAAAAAA                                                                                                     AAAAAAAAAAAA                                                                                                     
01Alabama                     0563              18.4500000 368040      3Web                            Web                            Web                            Web                            Director of Student Services                                       Assistant Superintendent, Operations                               Director of Student Services                                          Director of Student Services                                           111112122122212611111221221211126111112212212121162332AAAAAAAAAAAAAAA                                                                                                     1111112AAA1111111111111111111111111111111111111112AAAA222C1111111111222211222122223333222222211126122222222211222A2222221221222222222222222A2222222222222131322222122321111321222222222222222222111111111111111111111111111111111112221211132111113112322211111112221121222222212222212AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA22111112111133             111122222222                                                                                                     12222222122                                                                                                     122222222221 Adinistrtion                                                                                        
01Alabama                     0676              19.1203198 351730      1Web                            N/A                            Web                            Web                            Director of Student Services                                       Director of Student Services                                       Director of Student Services                                          Director of Student Services                                           222222122112121C1222222122212121C1222222122212121C222111221121112211C                                                                                                     2111111122111111C111111111111111111111111111111111112211111111111112221211111121233333CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC11CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC22222111321CCCCC111211221112221211CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC1111111211             612222222221 Psychology                                                                                          12222222221 sociiology                                                                                          122222222221 Clinicl Psychology                                                                                  
01Alabama                     0781              23.5000000 367560      4Web                            Paper (CMS UserID: 11)         Paper (CMS UserID: 11)         Paper (CMS UserID: 11)         Superintendent                                                     Superintendent                                                     Superintendent                                                        Superintendent                                                         112211A2211221231122111A2211221231122111A2211221231331112211211122221 Sowing Seeds of Hoe                                                                                 1111222AAA1111112AAAA2222221111112AAAA1111212AAAA2AAAA22222112221112221211222222123233222112112236112122212211222A2222221211222221122222122A21222221222222AAAAAAAAAAAAAAAAAAAAA232211222122221321111212121211121111112111221111211222212111222211211222222111121112111111111111122C2211111111112111111111111111111111111111111211111111111511111111111111             612222122222                                                                                                     2AAAAAAAAAA                                                                                                     122222122222                                                                                                     
01Alabama                     0857              23.5000000 362740      4Web                            Web                            Web                            Web                            Federal Programs/Human Resources Coordinator                       Superintendent                                                     Superintendent                                                        Federal Programs/Human Resources Coordinator                           11222212111111251122212121111112511222121211111125CCC2AAAAAAAAAAAAAAA                                                                                                     1111112AAA111111111111111111111111111111111111111111122222211122111122221122222212123322222221222212222222221C122A2222221222212111111222C12A21221222122222AAAAAAAAAAAAAAAAAAAAA2121121221CCCCC312111212122111212111112111111221C2111221111122111121122222211112111222122211222212222222AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA22112AAAAAAAAA             AAAAAAAAAAAA                                                                                                     AAAAAAAAAAA                                                                                                     AAAAAAAAAAAA                                                                                                     
01Alabama                     0887              23.5000000 362740      4Web                            Paper (CMS UserID: 12)         Web                            Web                            Superintendent                                                     Maintenance Supervisor                                             Director of Federal Programs                                          Director of Federal Programs                                           111112122112111611111121222121116111111212221212162332AAAAAAAAAAAAAAA                                                                                                     21111111111C11111111111111111111111111111111111112AAAA12CC11112211111111C111112123333322222221CCC652221211211C222A22CCC21211222222222222222A22222222222222AAAAAAAAAAAAAAAAAAAAA2122222222222222221112212121111111111111111111111111222121113122121122222221111311212211111221111222C222AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA22122AAAAAAAAA             AAAAAAAAAAAA                                                                                                     AAAAAAAAAAA                                                                                                     AAAAAAAAAAAA                                                                                                     
02Alaska                      0950              19.1203198 998330      1Web                            Web                            Web                            Web                            Superintendent                                                     Superintendent                                                     Assistant Superintendent                                              Superintendent                                                         11111212211211131111112122112121321121121222121113222111111221112222C                                                                                                     111111111111111111111111111111111111111111211111211222111111111111111222111121122CCCCC21111111133351111C11112A2111122222222A2111111112122212222212222221C2AAAAAAAAAAAAAAAAAAAAA1313113F3123F3211111111111111111211111111111111112111221111131112121122322231113111222211111211112222211111111111111111112122111212222212212222222212211221212222AAAAAAAAA             AAAAAAAAAAAA                                                                                                     AAAAAAAAAAA                                                                                                     AAAAAAAAAAAA                                                                                                     
02Alaska                      0783              19.1203198 998330      1Web                            Web                            Web                            Web                            Principal                                                          District Maintenance Supervisor                                    Superintendent                                                        Principal                                                              111112122112112111111121221121121211111212211211111331121121111222222                                                                                                     2111221111111111111111111111111111111111111111111121121111111111211112111121212213233322222221222651221121112A222A222222322A222212122222222A22222222222222AAAAAAAAAAAAAAAAAAAAA22121211212222222111121212211111112AAAAAAAAAAAAAAAA112212111311132111211222211121122221111112111122222111111222121111111111221111111211111111222112111111112213312AAAAAAAA             AAAAAAAAAAAA                                                                                                     AAAAAAAAAAA                                                                                                     AAAAAAAAAAAA                                                                                                     
