California           05   School Health and Safety Consultant                                                  Web  211222212212211111C11111111111111111111C111111111111111111111111111121121121111CCCCC1CC111CCC111111111C111211121111111C1C11111111111111111111111111111412AAAAAAA  AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
Minnesota            24   Supervisor, Safe and Healthy Learners                                                Web  2112222111111122111121111111111111122111111111111111111111111111111111111121111111221111122222AAAAAAAA2111121122AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA2AAAAAAAA  AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
West Virginia        49   Exec. Dir., Office of Healthy Schools                                                Web  1111111111112211111121111112111112211211121111111111111111111111111111121121111112111211121111111211111111211111111112111112111111111111111111111111115111111111  81221222222212212222222122122222222
Florida              10   Director, Office of Healthy Schools                                                  Web  2211222122122221211212111222122122221211211111111111111121211111111111111111111222221211112222AAAAAAAA1111211111112111111112111111111111111111111111113111111111  6112222222222AAAAAAAAAA2AAAAAAAAAAA
Arkansas             04   HIV AIDS Education Coordinator                                                       Web  2122222122122222222112222222122222222222112122222122122222222111111122222221221222222121212222AAAAAAAA21111211111112222111121122121122222111222221122152AAAAAAAA  AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
Massachusetts        22   Associate Commissioner                                                               Web  21112221111222111112121C112211111222222221211122C221C2222222C211112121121222111222222111222221111111112111221122AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA12AAAAAAA  AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
Mississippi          25   Director, Safe and Orderly Schools                                                   Web  2111222222122122222121111212222122122222111111222122222222222111111121112221222222221111112221112221222111211121111112111112111111111111111112111111112111111111  8121222222222AAAAAAAAAA112222222222
Michigan             23   Safe School Consultant                                                               Web  1112112222122CCCCCC2111121222221222CCCCC211112112C111112CCCCC111111111121121111CCCCC1C111122C2AAAAAAAA21111121211111111121121111111111111111111111111152AAAAAAAA  AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
Nebraska             28   Administrator, Ofc. of Equity & Inst Str                                             Web  2111211111122222222112111211111112222222111111111122122222222111111111111111111222221211112222AAAAAAAA2212221122AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA2AAAAAAAA  AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
New York             33   Emergency Planning Liaison                                                           Web  2112122111111111111121112111111111111211121112111111111111211121111111121111111111121111111112AAAAAAAA1111111121111122212C2211111111111111111111111111412AAAAAAA  AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
Montana              27   Division Administrator                                                               Web  C111112111112112222212111112111111212222212111112111112212222211122221111121111122121211222222AAAAAAAA11111112111111111122211111111111111111111111112132AAAAAAAA  AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
Connecticut          07   Consultant                                                                           Web  211111211111221121111211111211111221121111111111211111221121111111111111112111112212111111111111111111111111111111111111111111111111111111111111111111412AAAAAAA  AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
Oregon               38   Sexuality Education Specialist                                                       Web  21111111111112111111121111111111112C1121112111111C111112C1121111112121111111111112111111112221111111112111111112AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA12AAAAAAA  AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
North Carolina       34   Director School Support Services                                                     Web  211222122211111121112CCCCCCCCCCCCCCCCCCCCC111111111111111111111111211111111111111111111112111111111111111111112111111111111211111111111111111111111111312AAAAAAA  AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
New Mexico           32   After School Program Coordinator                                                     Web  211111111C111222211112111111C1112222222211211C112111122222222111112121111121111222221111122221111111112111121112AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA12AAAAAAA  AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
Nevada               29   Director, Child Nutrition and School Hea                                             Web  111111111111222222221111111111112222222221111111111112222222221111111111111111122222121111222111111121111111111111211121211111111111111111122111111121312AAAAAAA  AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
South Carolina       41   South Carolina Healthy Schools                                                       Web  2112222222222222222221111112111112222222111111112111112222211111111111111121111222221211122221111111111111111112AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA111111111 10121222222222AAAAAAAAAA2AAAAAAAAAAA
Wisconsin            50   Ass. Dir., Student Services, Wellness                                                Web  1111222111122222222111111222111122222222111111222111122222222111111111112221111222221111112222AAAAAAAA221122111111122222222211111111111121111111111121412AAAAAAA  AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
Wyoming              51   Comprehensive School Health Consultant                                               Web  111111111212222222222111211111112222222221111111111111122222221222221111111112122222222C122221111111111111111122AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA12AAAAAAA  AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
Iowa                 16   Safe & Drug Free Schools Consultant                                                  Web  2112222222222222222122112222222222111221211112212222222111221221111111122222222221121212112112AAAAAAAA111112112111122221222211111111111111111111111111312AAAAAAA  AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
New Hampshire        30   Systems Specialist                                                                   Web  111C122211C111112222C11111222111111112212C11111222111112122112C212221111122C111122122222221112AAAAAAAA2111121122AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA2AAAAAAAA  AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
Missouri             26   Coordinator of Financial and Administrat                                             Web  1112112111111212111122222222222222212222221111111111111212111122CCCCCCCCCCCCCCCCCC11CCCCCCCCC2AAAAAAAA222222CC1CCCCCCCCCCCCCCC111111CCC1CCCCCC1C1111CCCC2AAAAAAA  AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
District Of Columbia 09   Director, Wellness and Nutrition Services                                            Web  2212222111211211111112222222112211211111112222222111211211111111112122222221112212111111122211111111112222222122AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA12AAAAAAA  AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
Colorado             06   Director School Safety Resource Center                                               Web  21111122111222222212221111122111222222222211111122111222222C222211221111112211122222222112222CCCCCCCCCC11122122111CCCCCCCCCC1C1CCCCCCCCCCCCCCCCCCCCCCCC11CCCCCCC  3122122222222AAAAAAAAAA122222222221
Tennessee            43   Executive Director, Coord.School Health                                              Web  1111111111112122212111111111111112222122112111111111112222112111111111111111111122211111111221111111111111121111111111111111111111111111111111111111112111111111  5121222222222AAAAAAAAAA112222222222
Kentucky             18   Program Consultant                                                                   Web  222211211112222222222212211211122222222222211211211122222222222222212222222111122222222222222111221121111111111111112221222211121111111112211211111221212AAAAAAA  AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
Virginia             47   Student Assistance Systems Coordinator                                               Web  C1121111111CCCCCCCCCC11111111111CCCCCCCC1111C11C11111CCCCCCCC1C111C111111111111CCCCC11111CCCCCCCCCCCCC21111111C2AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA12AAAAAAA  AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
North Dakota         35   Co-Director of Coordinated School Health                                             Web  1112211111122222222221112211111122222222221112111111122222222211111111111111111222221211112222AAAAAAAA121112111111111221111211121111111111111111111211312AAAAAAA  AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
Alabama              01   d. Administrator, Prevention & Support                                               Web  11121121111222222222211122221111222222222211111121111222222222222222111211211112222222222222211111112121111222111CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC2AAAAAAAA  AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
Pennsylvania         39   Chief Office of Safe Schools                                                         Web  1111111111111121111111111111111111122111111111111111122221111111111111111121111222221111111112AAAAAAAA111111111111112111221211111111111111111111111111212AAAAAAA  AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
Alaska               02   Education Specialist                                                                 Web  1222222122111C22211221212222122111122212211222222122112222211222111211111121111C11222211112222AAAAAAAA211C22211111C212212222121111111111111111111111113112111211  1122222222212AAAAAAAAAA2AAAAAAAAAAA
Delaware             08   Education Associate                                                                  Web  2111CC1111111211211112212C211C11112112111111121111C11111112111121222111211111112221222211211111111CCCC1111121122AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA2AAAAAAAA  AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
Utah                 45   Safe & Drug-Free Schools Coordinator                                                 Web  11111121111122222212111111121111222222212111111121111222222222111111111111211112222212111122211111111111111111111111112121111111111111111111111111111132AAAAAAAA  AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
Hawaii               12   Acting Branch Director                                                               Web  111111111111111121111111111111111111121111111111111111111121111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111212AAAAAAA  AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
New Jersey           31   Coordinator, Safe and Drug Free Schools                                              Web  2112112122122221211111111112122122221211111111112111111121C111111111111C11211112222222C111222CCCCCCCCC1111111112AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA12AAAAAAA  AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
Texas                44   Director of Health & Safety                                                          Web  2111212112122222222212111212112122222222212112212112122222222211111122122121221222221211112221112111121111112111112222112212121111111111111111112111113111221121  61122222222212222222221112222222222
South Dakota         42   Co-Director, Coordinated School Health                                               Web  2222222122222222222222222222122222222222222222222112122222222211112122222221222222222211122222AAAAAAAA2111122121111112212112111111111111111111111111114111111111  712222222212122222122222AAAAAAAAAAA
Rhode Island         40   Manager, Coordinated School Health                                                   Web  211112222C122CCCCCCCC21111111111111111112121111121111111111112111121211111C11111111112111C111111111111111111111CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC2AAAAAAA  AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
Maryland             21   Lead Specialist, Safe and Supportive Sch                                             Web  2112212222112222222CC2112212222222222222221C11112C1112222222222212111112222222222222222221222111111111211111C1C111CCCCC1CCCC1CCCCCCCCCCCCCCCCCCCCCCCCC312AAAAAAA  AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
Idaho                13   Safe and Drug Free Schools Coordinator, 21st CCLC Coordinator                        Web  2111122111122222122212111122111112222122211111111111112222122111111111111221111222211211112222AAAAAAAA1111221111111111111112111111111111111111111111213111111111  412122222222112222222222AAAAAAAAAAA
Indiana              15   Safety Academy Program Coordinator                                                   Web  11112122221122222222211111122111122222212211121122211122222212C221212222212222122222222C222222AAAAAAAA121122112111112222222222222112211112211221122222311C211121  61222222222112222222221122222222221
Georgia              11   Program Manager, Safe and Drug Free Schools                                          Web  1111112111C2222221121111111211112222221122111111211112222CC11221112111111121C11222221211121122AAAAAAAA2111111112AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA2AAAAAAAA  AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
Maine                20   HIV Prevention Education Coordinator                                                 Web  11112111212221112222111112111212221112222111112111212221112222111111221111212222222212111122211111111111111211111111221121121122121111111222212111111142AAAAAAAA  AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
Oklahoma             37   School Health Coordinator                                                            Web  11111121111222222222111111121112222222222111111121111222222222111121222222211122222212111122211111111121111111111112222221121222111111111111211221121122AAAAAAAA  AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
Arizona              03   Director of School Safety and Prevention                                             Web  1111121111122222222222222222122122222222211111122111122222222221112112121222111222222111122222AAAAAAAA2111122122AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA2AAAAAAAA  AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
