01Alabama                0186             23.9490446 369040  4Web                         School Nurse                                                             1111111111414111452221112221111111122112121221222221222222221122222121111311
01Alabama                0304             16.4229172 363010  2Web                         Director of Child Nutrition Services                                     111111111124443A422222222222222222222222222222222222AAAAAAAAAAAAAAAAA2AAAAA2
01Alabama                0453             19.5496689 356400  3Web                         Administrative Assistant to Superintendent                               111111111142421141222112222121111C221222222221211222222222222212222222AAAAA1
01Alabama                0483             16.4229172 363010  2Web                         At Risk Director                                                         111111111122223A352212122221121122222222222222211222222222221212222222AAAAA2
01Alabama                0559             19.5496689 356400  3Web                         District Nurse                                                           111221121142423A4A2211112212111111222222222221211211112221221222121221111111
01Alabama                0563             19.5496689 368040  3Paper (CMS UserID: 10)      Director of Human Resources                                              1111111111424313452111112222221122222222222121122221222222221222222221331332
01Alabama                0676             20.2473690 351730  1Web                         Director of Student Services                                             1212211211444222413222122222111111121222211121122112222222221222211222AAAAA2
01Alabama                0781             23.9490446 367560  4Web                         Health Care Coordinator                                                  111111111114443A422221112211121111C2211112CCC1C1C1C122CCCCCC11CCCCC1C1111C12
01Alabama                0857             23.9490446 362740  4Web                         Federal Programs/Human Resources Coordinator                             111111111144423A4A3211112222121211212222221221222222222222222222222222AAAAA2
01Alabama                0887             23.9490446 362740  4Web                         Nurse                                                                    111111121144443A452211112212121111222222222221222221222221221222221222AAAAA2
02Alaska                 0950             20.2473690 998330  1Web                         Payroll Accountant                                                       111111111114143A4A2222222222221121222222222222221222222222222222222222AAAAA2
02Alaska                 0783             20.2473690 998330  1Web                         Principal                                                                1111111111141411112222222222221111222222222222211C21112222212122222112AAAAA2
03Arizona                0112             23.9490446 856050  4Web                         District Secretary                                                       111111122142423A4A3222222222222222222222222222222222AAAAAAAAAAAAAAAAA2AAAAA1
03Arizona                0185             23.9490446 863320  4Web                         HR Specialist                                                            111111121122433A4A2222222121111111121222211221221122221222112222222122AAAAA2
03Arizona                0305             23.9490446 856170  4Paper (CMS UserID: 13)      Paraprofessional                                                         111111111124413A4A2222222221211111222222222221211222212222222222222221111111
03Arizona                0334             23.9490446 856050  4Paper (CMS UserID: 13)      Superintendent                                                           1111111111222211452222222222211211222222121221121222222122122122122221CCCCC2
03Arizona                1037             23.9490446 856170  4Paper (CMS UserID: 12)      shpps                                                                    111111111142213A4C2222222221211211221221221221211122222221222222222222AAAAA2
03Arizona                1047             16.4229172 856310  2Web                         Wellness Coach                                                           111111111122443A4A2211112121111111112111111111111111111122112222221111111211
03Arizona                1067             23.9490446 856050  4Web                         Principal                                                                111111111144443A4A2222222222211122221222222221221122222222222222222221222221
03Arizona                1160             23.9490446 863320  4Web                         Superintendent                                                           1111111111222211422222222222211122222222211122122122222222221222222221111111
04Arkansas               0164             23.9490446 724340  4Web                         School Nurse                                                             1112111111424222252211112221111111222111211221211122222222221111222211121222
04Arkansas               0400             16.4229172 718320  2Web                         Superintendent                                                           1111211221222213453222222222211211222222222222222222222222222122221222AAAAA2
04Arkansas               0230             16.4229172 716350  2Web                         AD Administrative Assistant                                              1111111111424311322212122221211111221221222221222221222221222112221122AAAAA2
04Arkansas               0257             23.9490446 720400  4Web                         Nurse                                                                    1CCCCCCCC143C213413222222222C222112221122222C121222222CCCCCC1222222222AAAAA2
04Arkansas               0459             23.9490446 720400  4Web                         Superintendent                                                           1111111111444213412222222222222212222222222222222222222222222222222222AAAAA2
04Arkansas               0462             16.4229172 723420  2Web                         Human Resources Director                                                 11111C2221424213253222222221111211121212121221122221222222221111111111121111
04Arkansas               0503             23.9490446 726280  4Web                         Assistant Superintendent                                                 1111111111424213422212112221111212122112222221212212111122111222222221111112
04Arkansas               0553             16.4229172 719010  2Paper (CMS UserID: 16)      School Nurse                                                             111111111144443A4A2222122122211111222222222221211111222222221212222122AAAAA2
04Arkansas               0580             16.4229172 722010  2Web                         Coordinator of Coordinated School Health Program                         1111111111444413452112122221111111111111111221222121112222221112122221111311
04Arkansas               0624             23.9490446 724340  4Web                         School Nurse                                                             1111111111112313252222122221111111222222111221111121222222211222222221111222
04Arkansas               0951             23.9490446 724340  4Paper (CMS UserID: 10)      SHPPS                                                                    1111221111222213112211112221111111222211122221121112222112111111221221CCCCC2
04Arkansas               1031             16.4229172 718320  2Web                         Public Relations                                                         1111111111414411112222222222221221222222222221212221222222222112222222AAAAA2
04Arkansas               1088             16.4229172 716350  2Web                         Superintendent                                                           11111122214442144A2222222221111211222222222221222222221222222222222222AAAAA2
05California             0018             16.4229172 932470  2Paper (CMS UserID: 12)      shpps                                                                    1111111111444413453211122222211111221222211222222111221222222222222221CCCCC2
05California             0033             20.2473690 945090  1Web                         Educational Services Coordinator                                         111111111122223A153222222221111111121111111112112122222222122222212221221222
05California             0089             20.2473690 954050  1Web                         Human Resource Mgmt.                                                     1111111111244413152221112221111111222222122221212222222222222212212111323332
05California             0099             16.4229172 902120  2Web                         Director Ed. Services                                                    1111111111144413153222222222211211222222222222122122222222222222222222AAAAA2
05California             0104             23.9490446 959700  4Web                         Operation/Food Supervisor                                                11111111112222111121111121111111112212112112112C2121222222121222212221121112
05California             0130             16.4229172 932470  2Web                         Director of Personnel                                                    1111111111212213152211122221112111222222211221122121222222222222212222AAAAA2
05California             0190             16.4229172 932470  2Web                         Superintendent                                                           1111111221424213113222222222221111221222222222222222222222221122221221212222
05California             0206             16.4229172 934280  2Web                         Payroll Accountants Tech                                                 111111111122423A153211122222211221222222222222222122221222122222222221232222
05California             0324             19.5496689 935170  3Web                         Superintendent                                                           1111111111222213153222222222221211222222222222122222222222222222222222AAAAA2
05California             0355             16.4229172 933070  2Web                         District Nurse Practitioner                                              1111111111122311152211112222211111222222222222212112222222222222221222AAAAA2
05California             0386              1.0581668 937211  5Web                         Director, Health Services                                                111111111144443A1122222222222212112221222212222C2122222222222222C222212C1122
05California             0412             19.5496689 932760  3Web                         Superintendent                                                           11121111114444131122222222222112222222222222222222222222222222222222C2AAAAA2
05California             0449             16.4229172 960070  2Web                         Administrative Assistant                                                 1111111211114213123222222222221211222222222222222222222222222222222222AAAAA2
05California             0452             16.4229172 953580  2Web                         Principal                                                                1111111CC14244131C2222222222222111222222222222221222222222222222222222AAAAA2
05California             0486             16.4229172 930330  2Paper (CMS UserID: 12)      Assistant Superintendent                                                 111111111144423A113222222222211122222222222222222222222222222222222222AAAAA2
05California             0520             20.2473690 949570  1Web                         Health Services Coordinator/District School Nurse                        1111111111444413112221112221111111121111111221111112111122122212112111111132
05California             0538             20.2473690 910110  1Web                         Assistant Superintendent                                                 1111111111444411153222222222211111221222222222221222222222222111222222AAAAAC
05California             0540             16.4229172 906310  2Paper (CMS UserID: 11)      Director of Insurance                                                    111111111122223A152222222222211211222222222221222122222222222222222222AAAAA2
05California             0554             20.2473690 920400  1Web                         Personnel Manager                                                        1111111111113213153212122222222111222222222221222122122222222222222221333322
05California             0576             16.4229172 932470  2Web                         Assistant Superintendent, Human Resources                                1111111111444413152211122221111111221121221221122112222222222222222222AAAAA2
05California             0588              1.0581668 900171  5Web                         Director                                                                 111111111114441311222222222111111122112122222C222122222122111112111222AAAAA2
05California             0592             16.4229172 902620  2Paper (CMS UserID: 12)      Director, Human Resources                                                1111111111114213153122112222211111121222211222222121212222222122212221111212
05California             0609             23.9490446 959570  4Web                         Health Clerk                                                             1111111111424213153222222222211111121122222222222222222222222122212222AAAAA2
05California             0642             23.9490446 930660  4Web                         Mesa Union                                                               11111111112222114532C222222221112C222222222222212222222222222222222221333331
05California             0669             20.2473690 950700  1Web                         Assistant Superintendent/Educational Services                            1111111111122213153222222222211111222222222221222222222222222222222222AAAAA2
05California             0670             16.4229172 925530  2Paper (CMS UserID: 11)      Director, Student Services                                               1111111111222213152222222221111111222211222111212111221122122112211111122212
05California             0181             23.9490446 936020  4Web                         Human Resources Director                                                 1111111111224213153222222222211222222222222121222122212222221122222221221222
05California             0758             19.5496689 939620  3Web                         Superintendent/ Principal                                                1111111111244413123222222222211111221222122222221222222222222222222221223211
05California             0762             16.4229172 922620  2Paper (CMS UserID: 10)      Asst. Superintendent Human Resources                                     1111111112124413113222222221111122222222122222212112221122112112211221112212
05California             0784             23.9490446 959570  4Web                         Executive Administrative Assistant                                       1111111111124211112222222222211121222222222221222212222222122222C22222AAAAA1
05California             0785             23.9490446 936020  4Web                         Account Clerk                                                            1111111111222213153222222222211111222222222221222222222222222222222222AAAAA2
05California             0808             16.4229172 932470  2Paper (CMS UserID: 11)      SHPPS                                                                    111111122141243A15222222222221222222222222222122212222222222CCCCCCCCC2AAAAA2
05California             0855             20.2473690 920650  1Web                         Assistant Superintendent                                                 1111111111112213153222222222211211221222211221222122222222222222222222AAAAA2
05California             0856             20.2473690 920670  1Web                         Superintendent's secretary                                               1111112221112413113222222222221211222222222222222122222222222222221222AAAAA2
05California             0881             20.2473690 954050  1Web                         Human Resources Officer                                                  111111111122223A152222222222211211222222122121212122222222222222222222AAAAA2
05California             0910             16.4229172 958240  2Web                         Chief Communications Officer                                             1111111111444413153111122221111111111111111211112111112222221111221221111112
05California             0912             16.4229172 939120  2Web                         Benefits, Business Office                                                1112211111222213153211112221121211222222222221212111111122212222222221222222
05California             0917              0.9894530 941121  5Web                         Health Program Coordinator III                                           1111111111444413123222222221211222222222212222222122222222222222222222AAAAA2
05California             0938             20.2473690 950660  1Web                         Human Resources Administrator                                            111111111144421311322222222111111122222112122122211122222222222C212222AAAAAC
05California             1030             16.4229172 934280  2Web                         Superintendent Administrator Assistant                                   111111111122423A153222222222211111222222222221212121221222222222222122AAAAA2
05California             1074             16.4229172 923950  2Web                         Superintendent                                                           1111111111124213112222222222211111222222222222222122222222222222222222AAAAA2
05California             1076             16.4229172 933070  2Web                         Superintendent                                                           1111111111222211112222222222211222222222222222222222222222222222222222AAAAA2
05California             1089             19.5496689 939620  3Web                         Administrative Manager                                                   1111111111222213153212122221111111222222122221211111221122222222222221113331
05California             1124             16.4229172 935360  2Paper (CMS UserID: 11)      Assistant Superintendent/Human Resources                                 1111111CC144333A1C3212122222211111222222221222222121222222222222222222AAAAA2
05California             1127             23.9490446 956740  4Web                         Superintendent                                                           1111111211424211113222222222221211222222222222C22222222222222222222222AAAAA2
05California             1128             23.9490446 956740  4Web                         Associate Principal                                                      11111111114242111222221222221111222222C2222222211222122222222222222222AAAAA2
05California             1149             23.9490446 959570  4Web                         Superintendent                                                           1111111221444213153222222222211221221222222222212222222222222222222222AAAAA2
06Colorado               0006             16.4229172 806210  2Web                         Chief Human Resource Officer                                             11111111112221CCCC222222C2211111111CCCC1111111111121112122212222212121321C1C
06Colorado               0385             23.9490446 807370  4Paper (CMS UserID: 10)      Business Manager                                                         111221121142423A4C3222222222211222222222222222222222CCCCCCCCCCCCCCCCC2AAAAA2
06Colorado               0472             16.4229172 810670  2Web                         Superintendent                                                           111111222144223A4A2222222222211211222222222221222222222222221222222222AAAAA2
06Colorado               0476             23.9490446 807370  4Web                         Principal                                                                111111111132223A4A3211112221111211122212122221221212222222222222212222AAAAA2
06Colorado               0791             23.9490446 807370  4Web                         Superintendent                                                           111221222142222242222222C222211211222112222222222222222222222222222222AAAAA2
06Colorado               0895             16.4229172 810670  2Web                         Superintendent                                                           111211222122223A4A3222222222211211222222222222212222222222222222222222AAAAA2
06Colorado               1041             16.4229172 810670  2Paper (CMS UserID: 11)      Payroll Clerk                                                            1111111CC122223A4A2211112222211211222222222221222212122222222222222222AAAAA2
06Colorado               0487             16.4229172 810670  2Web                         Superintendent                                                           1112211CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC
06Colorado               0007             16.4229172 800300  2Web                         Director of HR                                                           1111111111142413412222122222211111222222222221212122112222222222212221221212
07Connecticut            0031             19.5496689 064470  3Web                         School Nurse                                                             1111111112144413153222222222212222222222222222222222222222221122222222AAAAA2
07Connecticut            0118             16.4229172 066040  2Web                         Executive Director of Human Resources                                    11111111121142134522221221211111111211211111C1222122222222222222222222AAAAA2
07Connecticut            0326             19.5496689 065240  3Web                         Human Resources Coordinator                                              111111111244443A4A2222222221111211222222222221222121222222222222222222AAAAA2
07Connecticut            0696             16.4229172 063200  2Web                         Office Manager                                                           111111111121443A312222122221212111222221211221112121222222222211221222AAAAA2
07Connecticut            0864             19.5496689 064470  3Web                         Superintendent                                                           111111111144443A4A2122222221211121CCC121211111121222112222221121211222AAAAA2
07Connecticut            1119             20.2473690 064090  1Web                         Superintendent                                                           1111111111242413452222222221111111222222222221211222222222221222211212AAAAA2
