Florida                10 Health Edu. Coordinator/Assistant Dir.                           Web       11222222222211122212222222222111211111111212211111211121111111111111112211111111111111111111111111111111111111111122222221111111111111112221222221111211111112211122112112AAAAAAA                                                   AAAAAAA                                                   AAAAAAA                                                   AAAA
Minnesota              24 Education Specialist                                             Web       2A2222122211111122122221111112211111122122221111111111122111111221222222222AAAAAAAA21122AAAAAAAA21122AAAAAAAA2112221112112211111111122222121111111121112111211211112122112AAAAAAA                                                   AAAAAAA                                                   AAAAAAA                                                   AAAA
California              5 School Health Education Consultant                               Web       11222222111111122222222222222222222222222222122222211111111111111111112222111111C11222111111111122211111111112C221F1122C211111111222222222222222222221211211111111121111111212222                                                   1222221sociology                                          1221222                                                   F221
West Virginia          49 Coordinator of Health and Phys. Ed.                              Web       112222221111111111111112222221111111111111112111111211111111111111111111111111111112222111111111222211111111122221211222211111111111111111111111111112111111111111111111111122222                                                   2AAAAAA                                                   1222221Special Education                                  1112
Massachusetts          22 PANT/Health Education Coordinator                                Web       2A22222121111111221222222222121111212221222212222211121211112112212222122111121121222221112112122222111111212222212222222221111112212222212122222222222112122222112212212AAAAAAAA                                                   AAAAAAA                                                   AAAAAAA                                                   AAAA
Arkansas                4 HIV AIDS Education Coordinator                                   Web       1122222221112222222222222222221212122222221222222212122211111112212C2212211111111C1212211111111121121111111112112221122112111111122222122121122121121211111111211111122112AAAAAAA                                                   AAAAAAA                                                   AAAAAAA                                                   AAAA
Mississippi            25 School Health Administrator                                      Web       11222211221111111112112222212211111111112112111C111211122211111111211222111111111111111111111111111111111111111111111111122111111111211222212111111112111111111111111211111221222                                                   1222221Secondary Education                                1221222                                                   C112
Michigan               23 Health Education Consultant                                      Web       112222221111111111112121111111111111111112121111111111111111111111111221111111111111112111111111111211111111111121111222211111111111122221212111111111111112112111111111111222221Biopsychology                                      2AAAAAA                                                   1222212                                                   1222
Nebraska               28 Coordinated School Health Director                               Web       121111111111111121111121111111111111111111111111111111111111111111111121111111111111112111111111111211111111111122211122221111111111212211111111211211111312111121211111111122222                                                   1222221Recreation                                         2AAAAAA                                                   3112
Montana                27 HIV/Pregnancy Prevention Education                               Web       12222222222222222222222111121211111112211211211111121121111111111112112222111111111211211111111121121111111112112122212221112211122112111111111122C22213333221212121111112AAAAAAA                                                   AAAAAAA                                                   AAAAAAA                                                   AAAA
Connecticut             7 Consultant                                                       Web       11111111211111112212112111111111111111111112111111111112211111111121121111111111111211211111111111121111111111112122222222212111122122122121211121112111111211111111111112AAAAAAA                                                   AAAAAAA                                                   AAAAAAA                                                   AAAA
New York               33 CSHP Director                                                    Web       122222222222211122121222222222222211122121222111111111122211111221211222221111111111222111111111122211111111122221111111122222222222222222222222222222211112212111221212111212222                                                   2AAAAAA                                                   1212222                                                   2222
Oregon                 38 Sexuality Education Specialist                                   Web       112222221211111121122222111221211111122122221111122111111111111111121C2111111111111111111111111111111111111111111111111112222111122122222111111111121111111111211112111212AAAAAAA                                                   AAAAAAA                                                   AAAAAAA                                                   AAAA
North Carolina         34 Chief Health and Community Relations                             Web       1121211111111111111111122221111111111111111112111111111111111111111111111111111111122121111111C11111111111111111112221C221CC11111111111111211111111111111111111111111111111122222                                                   2AAAAAA                                                   1122222                                                   1112
New Mexico             32 Director, School & Family Support Bureau                         Web       11222111111111111C1111122C111111111111111111222211121121111111111111111112111111111222111111111111211111111111121221122221111111111C111221211111121212111111112111111111111212222                                                   1122222                                                   1122222                                                   1112
South Carolina         41 Health & Physical Education Consultant                           Web       111112211111111111111111112111111111111111111111211111111111111111111121121111111111111111111111111111111111111111211222211111111111111112212111111111111211112111211111111122222                                                   1212222                                                   1122222                                                   1112
Nevada                 29 Health Education Program Professional                            Web       1C2211111111111121112112211111111111121112111221111111111111111211121111111111111112122111111111211211111111121121F11222211111111211121111111111121111111311112111211212111122222                                                   1221222                                                   1122222                                                   F112
Wisconsin              50 Health & Physical Education Consultant                           Web       112C22222222111122112222222222211111111C12221222221111121C1111111112221111111111111211C111111111211211111111121111C222222111111111112222222121111111111C1111111111121111111222212                                                   2AAAAAA                                                   1122222                                                   1111
Wyoming                51 Program Consultant                                               Web       1122222222222C22222222222222222222222222222212222221222222222222222222122211111111122221111111112222111111111222211112222222222222222222221222222222212332222222222222222AAAAAAAA                                                   AAAAAAA                                                   AAAAAAA                                                   AAAA
Iowa                   16 School Health Services Consultant                                Web       2A22222222112111222221222222222112112222221112222221122111111111111111222211222222222222AAAAAAAA22222AAAAAAAA222212222222221121111212211222222221212211111122111111222212AAAAAAAA                                                   AAAAAAA                                                   AAAAAAA                                                   AAAA
New Hampshire          30 Systems Specialist                                               Web       112222222211211222122222222221111111111112121222111111111111111111111222111111111112112111111111211211111111121121222222222221111221222212211221111211111322221221121222111221222                                                   1221222                                                   1221222                                                   2222
Missouri               26 Asst. Comm., College & Career Readiness                          Web       112222222222222222222222222C22222222111111112111111211111111111111111121121111111112222111111111222211111111122221111111122222222221221211111111111222131331C122212211122AAAAAAAA                                                   AAAAAAA                                                   AAAAAAA                                                   AAAA
District Of Columbia    9 Director, Wellness and Nutrition Services                        Web       111122222211111111112211111222211111112111111111112111221111111111111122111111111111212111111111221211111111122122222111111111111111111122211112211111111112111121111111111222212                                                   2AAAAAA                                                   1222212                                                   2222
Colorado                6 Physical Education and Health Consultant                         Web       111111111111111111111111111111111111C11111112111111111111111111111111112221111111111222111111111122211111111112221222222211111111111111111122121221122111111111111111111111212222                                                   2AAAAAA                                                   2AAAAAA                                                   2222
Tennessee              43 HIV Education Consultant                                         Web       112221111111111111111112221111111111111111112111111212111111111111111121111111111111111111111111111111111111111111111111111111111111111111211111121122111111111111111111111222221psychology                                         1222221sociology                                          1122222                                                   2222
Kentucky               18 Coordinated School Health Project Dir.                           Web       11222112111111112122222222222111111112112112122222211111111111121121121111111111111111211111111111121111111111112111122C222222222212222222222222221212111111112111121111111122222                                                   2AAAAAA                                                   1222221School Councelor                                   1112
Virginia               47 Specialist, Health, PE, and Driver's Ed                          Web       1222211111111111111111122211111111111111111112221211221111111111111111221211111111111221111111111122111111111211212221222111111111111111112122C211121111111C11111111111112AAAAAAA                                                   AAAAAAA                                                   AAAAAAA                                                   AAAA
North Dakota           35 Health Education Coordinator                                     Web       112221221111121122111122222221111111121111121222222112111111211111111222111111111112112111111111211211111111121121111222211111111111121211111111121221111112211111111112111222221Sociology                                          1222221English                                            1222221Sociology                                          2222
Alabama                 1 Ed. Specialist, Curriculum & Instruction                         Web       112111221112111111111112111111111111111111112111111212222222221222222212221111111112221111111111222111111111122211222222222222111222222222222222221222111212112121222C212AAAAAAAA                                                   AAAAAAA                                                   AAAAAAA                                                   AAAA
Pennsylvania           39 Health and Physical Ed. Advisor                                  Web       111111121111111111111111111222211111111111111111112211222111111111211121111111111112112111111111211211111111121121222122211111111111111111122221111112211112112121111121111122222                                                   2AAAAAA                                                   1122222                                                   1112
Alaska                  2 Education Specialist                                             Web       122222222222222222222222222221122211222122222222222212221222111211222221121111112212222111111221112211111122111221111111111111111111222222211111122222131112211211111222111222221focus on health promotion and education            2AAAAAA                                                   2AAAAAA                                                   2221
Delaware                8 Health, Physical Education, CDC Programs                         Web       111111111111111111111111111111111111111111111111111111111111111111111111111111111111112111111111111211111111111122211222211111111111111111112111111111111111111111111112111122222                                                   1221222                                                   1221222                                                   3112
Utah                   45 Health/PE Specialist                                             Web       112111111111111111111122111111111111111111C2211111121111111111111111122111111111111111211111111111111111111111111221121221111111111C111221112111211212111222221111121111111212222                                                   1122222                                                   1212222                                                   2112
Hawaii                 12 Acting State Educational Specialist                              Web       111111111111111121111111111111111111111111111111111111111111111111111111111111111111112111111111211211111111121121111111111111111111111111111111111111111111221111111111111122222                                                   1222212                                                   2AAAAAA                                                   2112
New Jersey             31 Coordinator, Health and PE                                       Web       1111112111111111111122222222122222222221122211112212111111112222211222121111111111121121111111112112111C111112112122212221111C111121122112212111221211111112111C21221211111212222                                                   2AAAAAA                                                   1222221Educational Administration                         2222
Texas                  44 Director of Health & Safety                                      Web       122222111111111111111112221221111111111111112222122112111111111111111121111111111112211111111111221111111111121111111222211111111111111122222112212121111311111111221111111122222                                                   1222221Speech Communication                               1122222                                                   2222
South Dakota           42 Health & Physical Education Coordinator                          Web       112221222222222222222222221222222222222222221222122122222222222222222212211111111112222111111111221211111111122122222122211212222222222222212221211211212212222221221222111122222                                                   1222212                                                   2AAAAAA                                                   1112
Rhode Island           40 Manager, Coordinated School Health                               Web       11222211221122222212212222211222122211111111111111111112211111111C111111111111111111112111111111111211111111111121111222212221111111121221221222211122211112211111111112111222122                                                   1222221English                                            1222221Community Health                                   2222
Maryland               21 Specialist, Comprehensive Health Educati                         Web       122221222222222222222222221221111111111112121112112211112121111111121221111111111112122111111111211211111111121121222122222222111111122222212222111212111112211111121122111222221Exercise Science                                   2AAAAAA                                                   1222221Curriculum and Instruction                         1112
Idaho                  13 Director, Coodinated School Health                               Web       112222211111111111122122222111111111111122121111111111111111111111222211111111111111111111111111111111111111111111111222211111111111122222212111211211111111211111111111111122222                                                   1122222                                                   2AAAAAA                                                   1112
Indiana                15 HIV/STD Prevention Coordinator/Health Education Specialist       Web       111112112212111111122221112112212111122122121111112111122111111111211212111111111112111111111111211111111111111112211222222221111222222222212111211221211112222121221122111222122                                                   1222212                                                   2AAAAAA                                                   2222
Georgia                11 Program Specialist, Health and Physical Education                Web       112222122222222222222222222222222222222222221222222212111222122221222211121111111112221111111111222111111111122211222122111CCC1C2221222222222222222222222212112221221221111122222                                                   1222221Philosophy                                         1122222                                                   1112
Maine                  20 Interim Coordinator, Coordinated School Health Programs          Web       112111221111111111111111111121112111111111121111C11111111111111111111121111111111111111111111111111111111111111111222222211111111111111111111111111111111112111111111112111122222                                                   2AAAAAA                                                   2AAAAAA                                                   1112
