01Alabama                0186             26.2937063 369040  4Web                         School Nurse                                                             112111111111212111121121211122312111223122343AA111121111111C1111122222221111121122222221222221111111121121A1112222111111112AAA2AA2AAA1112111111221222222211122112112112112222211222222211121                                                                                                     C122122111111112CC2222222222111221111122111111222211222212211221222212111    4    4  12222222AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA12AAA                                                                                                     AAAA                                                                                                      ACCC                                                                                                     AAAAAAA                                                                                                     AAAAAAA                                                                                                                                                                                                         
01Alabama                0304             15.3644956 363010  2Web                         School Nurse                                                             112111111111212111111131111111311111113111343AA11122112121111111111111211111311111111111111221111111111121A1111111111111112AAA2AA2AAA1112211111222222221111111111111111112222121121211111121                                                                                                     1123122111111111111122211111111111111111111111112122221212211111222311111    0    0  AAAAAAA2AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA11122                                                                                                     2122                                                                                                      ACCC                                                                                                     AAAAAAA                                                                                                     2122322                                                                                                                                                                                                         
01Alabama                0453             20.2191781 356400  3Web                         Director of Nursing                                                      112111122122212111122111221122212211222111343AA1111211212112112211222222211232122122222122222111111122212262122222111111112AAA2AA2AAA1112221111222222221111111111112111112222112222221111114 ln                                                                                                  1123222211222111112222222222222222211122111112222222222222221221222112111    0    0  AAAAAAA2AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA11122                                                                                                     3122                                                                                                      CCCC                                                                                                     AAAAAAA                                                                                                     2122222                                                                                                                                                                                                         
01Alabama                0483             15.3644956 363010  2Web                         At Risk Director                                                         112111111122212111122132222122322222223111343AA11222112121111121122222222112221221111211111122AAAAAAAA2221A1122212111211122AAA2AA2AAA1112211111222221222221121112122221222222122222222211124 LPN                                                                                                 1122122122122222122222212122211111122211221222222222222222221221222311111    9    0  12222222AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA11122                                                                                                     4221 History, Counseling  Psychology, Adinistrtion                                                        1CCC                                                                                                     2222112                                                                                                     2222222                                                                                                                                                                                                         
01Alabama                0559             20.2191781 356400  3Web                         District Nurse                                                           112111111111212111122121221122212211222112343AA11111112121111111122222221111111111212211111121111111111121A11111111111111111112AA2AAA1112211111112211221211111111111111112222112221211111124 Licensed Prcticl Nurse degree                                                                       1123122111111111112122122112112222111122221121222122221211211221222211111    0    0  AAAAAAA2AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA11122                                                                                                     4111 Mster in Public Helth                                                                                2CCC                                                                                                     2122212                                                                                                     2122322                                                                                                                                                                                                         
01Alabama                0563             20.2191781 368040  3Web                         Lead Nurse                                                               1221111111112221111221312211C2312221223112343AA11122111111121111122222221113311121212112111111111111111121A21211112AAA11212AAA2AA2AAA1112211222122222221111111111111111122222122222222211111                                                                                                     1123222211111111112222112111111221111122111111111122222212211111CCC311111    0    0  AAAAAAA2AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA11122                                                                                                     4122                                                                                                      1CCC                                                                                                     1222222                                                                                                     2122322                                                                                                                                                                                                         
01Alabama                0676             18.9086640 351730  1Web                         Director of Student Services                                             222211121112212111122131221122212211221112343AA11111112121121111122222121111111112112211112211111111111121A2121111112211222AAA2AA2AAA1112211121222222222221111112222211111212212222222111124 All re RN                                                                                           212112211122222222222222212222212112CCCCCCC1222222CCCCCCCCCCCCC1222311221    0    0  AAAAAAA2AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA11122                                                                                                     5221 Clinicl Psychology                                                                                   1CCC                                                                                                     2222122                                                                                                     222222C                                                                                                                                                                                                         
01Alabama                0781             26.2937063 367560  4Web                         Health Care Coordinator                                                  111111111111112111122131221122312211223112343AA11112111111111111122212121113311121212211111121111111111121A1122221111111112AAA2AA2AAA111221111C212212221111C11C1111111111122111112111111C121                                                                                                     1113122111111111112122211111111111111111111111111111121111111111222311111    0    0  AAAAAAA2AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA11122                                                                                                     C122                                                                                                      2CCC                                                                                                     1222222                                                                                                     1122322                                                                                                                                                                                                         
01Alabama                0857             26.2937063 362740  4Web                         Head County Nurse                                                        112211111111212111122111221122112211221112343AA111121111C11211111222222111113111C11112111112211111111C1122111C1221112111112AAAC222AAA111211121112222222122C221111CCCCCCC1C221112222222211121                                                                                                     1122122111111111112111211111111111111111221111111112222211211111222311111    0    0  AAAAAAA122211122222222222112C22222122222211211122                                                                                                     4122                                                                                                      1CCC                                                                                                     1122122                                                                                                     2122222                                                                                                                                                                                                         
01Alabama                0887             26.2937063 362740  4Web                         Nurse                                                                    112111111111212111122111221122112211221112343AA11122112121111122211122213312211222222211232222AAAAAAAA2221A11222222AAA2AAA2AAA2AA2AAA2212211221222222222221222222222222222222122222222221221                                                                                                     2212222221222212122222222222222221122222222222222222222222222222122312222    0    0  AAAAAAA2AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA2AAAA                                                                                                     AAAA                                                                                                      ACCC                                                                                                     AAAAAAA                                                                                                     AAAAAAA                                                                                                                                                                                                         
02Alaska                 0950             18.9086640 998330  1Web                         Nurse                                                                    1211121111122121111111211111222111112221121212111122112222111111122222222212221112111211222221111111112121A2121112111111122AAA2AA2AAA1112222222222222222211111222222211222222121222222222124                                                                                                     2121222211222222222222222222222222222222222222222222222222222221222312222    0    0  AAAAAAA2AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA12AAA                                                                                                     AAAA                                                                                                      AAAA                                                                                                     AAAAAAA                                                                                                     AAAAAAA                                                                                                                                                                                                         
02Alaska                 0783             18.9086640 998330  1Web                         RN - District Nurse                                                      1111222221222121111111211111222111112221123212122111112222222222111122121111311112111211111121111121211221AC121222111111112AAA2AA11111222222221122222222122211111222211111C1211222222C111121                                                                                                     2123222222222222222222222222222222222222222222222222222222222221222212112    0    0  AAAAAAA2AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA11122                                                                                                     3121 Interntionl Develoent                                                                                1211 Gern                                                                                                AAAAAAA                                                                                                     2122311                                                                                                     AHA Bsic Life Suort, First Aid nd CPR Instructor                                                    
03Arizona                0112             26.2937063 856050  4Web                         Superintendent                                                           121111122111212121222121221122212211222221343AA11222112222121222122222221113311222211221212221111111121121A2121C11111211122AAA2AA2AAA2222222222222222222222222212222222222222222222221222224                                                                                                     2222222222222222222C2222222222222222CCCCCCCCCCCCCCCCCCCCCCCCCCC2221321211    0    0  AAAAAAA12222222222CCCCCCC122222222222222222211122                                                                                                     4212                                                                                                      1CCC                                                                                                     2222212                                                                                                     2222222                                                                                                                                                                                                         
03Arizona                0185             26.2937063 863320  4Web                         District Nurse                                                           222111111111222111121111211112112111121111343AA11222112121221122222122121222311221121211211221111111112121A1211111111111112AAA2AA2AAA111221111111122222222222221C212211222222221222222112124                                                                                                     2122222111121111111112222122222222112222111221222121222222211221122112222    0    0  AAAAAAA11221212211C222222211122222222222222211122                                                                                                     3122                                                                                                      2CCC                                                                                                     AAAAAAA                                                                                                     2122121                                                                                                     ACLS,PALS                                                                                           
03Arizona                0305             26.2937063 856170  4Paper (CMS UserID: 13)      Superintendent/Head Teacher                                              12211111111222211111113AAAAAAAAAAAAAAAA111343AA11111112121131133122222221131311121212122233221111111111121A1121111111111112AAA2AA2AAA22222222222222AAAA112222111122222121222212222222221222C                                                                                                     CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC2222312111    0    0  AAAAAAA121122212222222222221222222222222222211122                                                                                                     4212                                                                                                      1CCC                                                                                                     2222212                                                                                                     2222222                                                                                                                                                                                                         
03Arizona                0334             26.2937063 856050  4Web                         Administrative Assistant                                                 1121111121C1212CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC                                                                                                     CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC    C    C  CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC                                                                                                     CCCC                                                                                                      CCCC                                                                                                     CCCCCCC                                                                                                     CCCCCCC                                                                                                                                                                                                         
