California              5 School Nurse Consultant                                          Web       2221211212222211111111111111111111111111111111111122222222111111111111121122222212112422222222222222222222222222122222222222222222222222222222221222  180   C 21222222111221111Sociology                                          2AAA                                                   1212                                                   2122121State School Administrative certification     
Florida                10 School Health Nurse Consultant                                   Web       1111111111111111111111111111111111111111111221221122222221111111111111111111211111112622111111122222221221111111111111111112222211111122111111111111    C   C CCCCCCCC111221122                                                   2AAA                                                   1122                                                   2121311Clinical Nurse Specialist                     
West Virginia          49 Coordinator, School Health Services                              Web       1211211111111111112111111111111111111111111111111122222221111111112111111112112211111A11111111111121111111111111111211112211111111112222112112221111   64  31 12222222111221122                                                   2AAA                                                   1122                                                   2122122                                              
Arkansas                4 State School Nurse Consultant                                    Web       2221222212222122212222122221211121211111111221121221222221132122212112211211212211222421222111121221222111111111111111112222221221122222112211112221    5   5 22222122111221122                                                   2AAA                                                   1122                                                   2122321Teaching                                      
Massachusetts          22 Director School Health Unit                                      Web       1111211112111111112111121111111121111211111121121122222221111111111111111111111111122521111111121111122111111111111111111111111121121122122111122111   36  30 12222222112121122                                                   2AAA                                                   1221Public Health                                      2122211Nursing Executive, Advanced                   
Mississippi            25 State School Nurse Consultant                                    Web       1111121112121211221221121212111111111211111121121122222221111111112111111121122112112322221111111121222121222211121211122212222221222222122221111111    8   C 2212222212AAAAAAA                                                   AAAA                                                   AAAA                                                   AAAAAAA                                              
Michigan               23 Health Services Coordinator                                      Web       1111211222222211112111121212111111111112111121221122222221131121112112122112211212112721111111111222222221111221111111112111121221122222122212221211   71  71 1222222212AAAAAAA                                                   AAAA                                                   AAAA                                                   AAAAAAA                                              
Nebraska               28 School Child Health Program Manager                              Web       2111211111111121112111111111211121111111112222221212222221111111111112122122122211121A12121111111122221221112121221211222211111222122122212211121112    7   7 212222222AAAAAAAA                                                   AAAA                                                   AAAA                                                   AAAAAAA                                              
Montana                27 Prevention Programs Coordinator                                  Web       2211211112111122112111111111221121111211111221121221222221131111112111122221222212122622222221111222221212221111111111212221122221222222122221222211    0   0 AAAAAAAA12AAAAAAA                                                   AAAA                                                   AAAA                                                   AAAAAAA                                              
New York               33 Associate in School Nursing                                      Web       2121222112111221212221121112111121211111111111222212222222111111111112111222122211112521121111111122222121212221211111211112211211122122222111121222  217 108 22122222111221122                                                   2AAA                                                   1212                                                   2122321Certified Case Manager                        
Connecticut             7 Consultant                                                       Web       11111111111211111111211112111111112111121111111212122222221111111111111211111122121225222211111111122221111111111111111C12111C1111111112111112221111    C   C 12222222111221122                                                   2AAA                                                   1122                                                   2122222                                              
Oregon                 38 School Health Specialist                                         Web       2222222212111221212222121212111111111111111221221111111121111111221111221111112212111A212211C111112C111111111111111111112111121C1122212211111C211111    C   C CCCCCCCC111221122                                                   2AAA                                                   2AAA                                                   C1C2222                                              
North Carolina         34 State School Nurse Consultant                                    Web       2122222222222221111211121111111111111111111111121122222221111111111111121111122112121A11222111111121222221121111111111122211221211122122112112221111   50  50 1222222212AAAAAAA                                                   AAAA                                                   AAAA                                                   AAAAAAA                                              
New Mexico             32 Asst. Dir., School/Family Support Bureau                         Web       121111111111111211111111111112111222111111111111112222222111111111111111121121211112262122111112C1222211111111111111CCCCCCC11111C1111112111112121211   78  78 1222222212AAAAAAA                                                   AAAA                                                   AAAA                                                   AAAAAAA                                              
South Carolina         41 School Nurse Consultant                                          Web       112111111211111111111111111111111111111111111112112222222112111111211211112111211211241112111112112111111122122222112222221221222122222222C111121121    3   C 22122222111221122                                                   2AAA                                                   1122                                                   2122322                                              
Nevada                 29 Health Education Program Professional                            Web       1221211212111112212112121111112111111211111212222212222221131311211121122121122111112621211111222221222111221111111122221212222211222212122111111221    5   2 21222222111221211Health Education                                   1212                                                   1221Health Education                                   222222112 Health Ed Teaching Credential              
Wisconsin              50 School Nurse Consultant                                          Web       2222222212221122222221122211111111111111112212121212222221111111121111121222122212122522221221111121111222111111111211221211122212211122112112221111    0   0 AAAAAAAA12AAAAAAA                                                   AAAA                                                   AAAA                                                   AAAAAAA                                              
Wyoming                51 Comprehensive School Health Consultant                           Web       1111111C12121211111112121C11111111111111112222222221222222131111111111111122222112112622222212111112222111221111111111222212222212212122211122221211    0   0 AAAAAAAA2AAAAAAAA                                                   AAAA                                                   AAAA                                                   AAAAAAA                                              
Iowa                   16 School Health Services Consultant                                Web       1111111111111111111111111111111111111111112221121122222221111C11222112121221122211121A22221222222221112111111111111122111111111211111111111111121111   20   C 12222222111221112                                                   2AAA                                                   1122                                                   2121112                                              
New Hampshire          30 Systems Specialist                                               Web       22222222222222211121211212122222122222222222222222122222221333312221221222222222121225221CCCCC1CCCC1CCCCCC1CC111CC11CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC    0   0 AAAAAAAA2AAAAAAAA                                                   AAAA                                                   AAAA                                                   AAAAAAA                                              
Missouri               26 State School Nurse Consultant                                    Web       2111211212121211112112121212111C11121111111221122212222222111111111111111111112212122522121111111121121221222121121111221211222222222222122111221111    3   0 22122222112121122                                                   2AAA                                                   1122                                                   C1C1322                                              
District Of Columbia    9 Chief, Child, Adolescent and School Health Bureau                Web       1211211111C111121C1111111111111111111111111121121122222221111111121111111111111111121A2111111111221111211122C112211111222122122222222222212222211222    5   5 12222222112121221Biology                                            2AAA                                                   1221MA PUBLIC HEALTH                                   222222C                                              
