Alabama              01   Ed. Administrator, Prevention & Support                                              Web  Coor, Child & Adol. Services Mental Ill.                                            Web 211111111111111112222111111111111121112222211111111111112111111111111111111121211111111111112122112222                                                   121222                                                   112222                                                   2
Alaska               02   Education Specialist                                                                 Web  Education Specialist                                                                Web 1211C211111111111222113111121111112221222221111111122212122222222222211C121111212221111111111222122212                                                   122221Early childhood                                    122221Special Education                                  1
Arizona              03   Director of School Safety and Prevention                                             Web  Director of School Safety and Prevention                                            Web 2222222221221111111122222122221122211222222222212222221222222222122111211211111111211121112AAAAAAAAAAA                                                   AAAAAA                                                   AAAAAA                                                   A
Arkansas             04   School Based Mental Health Coordinator                                               Web  School Based Mental Health Coordinator                                              Web 1111111111112112212111111111121112111122211111111112C11C112121111111111111111C111111111111111222111212                                                   2AAAAA                                                   111212                                                   2
California           05   Counseling Student Support Consultant                                                Web  Counseling Student Support Consultant                                               Web 1111111111111112111211111112C1111111111211211111112211111121211111211111121121211111112111111222122122                                                   2AAAAA                                                   122122                                                   2
Colorado             06   Exceptional Student Leadership                                                       Web  Exceptional Student Leadership                                                      Web 1211121111111111122211C2111211111121112112112121111112122222C11111111122121212222111212111111222121222                                                   2AAAAA                                                   121212                                                   1
Connecticut          07   Consultant                                                                           Web  Consultant                                                                          Web 1211121112112112222211111111121111211121122111111122211111111111111111111111C1112211111111111222122221Communications                                     121222                                                   122122                                                   1
Delaware             08   Education Associate                                                                  Web  Education Associate                                                                 Web 1111222211111111122221211112222111211112222222111122222222222222222221221222222221111C11112AAAAAAAAAAA                                                   AAAAAA                                                   AAAAAA                                                   A
District Of Columbia 09   Clinical Program Administrator                                                       Web  Clinical Program Administrator                                                      Web 111211112221111222211111112222111121111211121111111111111C1C1C12222111211111111111111111112AAAAAAAAAAA                                                   AAAAAA                                                   AAAAAA                                                   A
Florida              10   Schools and Medicaid Consultant                                                      Web  Student Psychology Consultant                                                       Web 22222222111111122222113311122212122111111112211121222211121121112222212211222222222121211112AAAAAAAAAA                                                   AAAAAA                                                   AAAAAA                                                   A
Georgia              11   Program Specialist, Guidance/Counseling and Social Work                              Web  Program Specialist, Guidance/Counseling and Social Work                             Web 211111111111111211221131112222111221111111111111111222111222221222211111121111111111111111111222122221Sociology                                          122221Sociology                                          112222                                                   1
Hawaii               12   State Educational Specialist                                                         Web  State Educational Specialist                                                        Web 11112112211212222222222221222221112111222212212121222212221222122222212222222112211122221212AAAAAAAAAA                                                   AAAAAA                                                   AAAAAA                                                   A
Idaho                13   Director, Coodinated School Health                                                   Web  Director, Coodinated School Health                                                  Web 2222222111211111222221222122221112211122222212221222212212211111221111111212222222212111222AAAAAAAAAAA                                                   AAAAAA                                                   AAAAAA                                                   A
Illinois             14   Principal Consultant                                                                 Web  Principal Consultant                                                                Web 2222222222222111222211113122221221222222222222222222222222122222221111221222222222122111222AAAAAAAAAAA                                                   AAAAAA                                                   AAAAAA                                                   A
Indiana              15   rogram Coordinator for School Counseling/School Social Work Consultant               Web  Program Coordinator for School Counseling/School Social Work Consultant             Web 111111111111111112222122112211111111111112222121122222112222121122111122122221122111221121111222122212                                                   2AAAAA                                                   122122                                                   1
