California           05   Nutrition Education Administrator                                                    Web  11111111111111111111111111111111111111111112111111111111111221111111111111111121111111111111121111111111112121221121222221Political Science; Health Policy                   2AAAAAA                                                   1222221Public Policy and Administration                   222222                                                   
Florida              10   Team Nutrition & Training Coordinator, Food & Nutrition Management                   Web  22221111111211111222111122121111111211112212111111112121111221221111122111121222222C22112C211212121211C11121211112AAAAAAAA                                                   AAAAAAA                                                   AAAAAAA                                                   AAAAAA                                                   
Minnesota            24   Supervisor, School Nutrition Program                                                 Web  122111112212111111211111211111111111111121111111111211221212212111111111112212211121221111211212121111111111212112AAAAAAAA                                                   AAAAAAA                                                   AAAAAAA                                                   AAAAAA                                                   
West Virginia        49   Exec. Dir., Office of Child Nutrition                                                Web  11111111111221211111211121121121111222112212112121111222211121222121112211222221112112111C211222C2221111122122111121122222                                                   1222221FINANCE                                            1122222                                                   2222C2                                                   
Massachusetts        22   Administrator, Office Nutrition/Health                                               Web  1111111111111111111111C111111111C111C111C11111C11C1C1111111111111C11111111111111C1111C1111111111111111111CC121111121212212                                                   1222122                                                   2AAAAAA                                                   222C21Licensed Dietitian Nutritionist                    
Mississippi          25   Director, Office of Child Nutrition                                                  Web  11111111211111111111111121111111111111112111111111111112111111111111111111121111111111111121122112111111111111111121CCCCCC                                                   CCCCCCC                                                   CCCCCCC                                                   CCCCCC                                                   
Arkansas             04   Director Child Nutrition Unit                                                        Web  11111111221112111111111112111211111111112211122111121111111111211111111121111111111111111122111112112111111121112AAAAAAAAA                                                   AAAAAAA                                                   AAAAAAA                                                   AAAAAA                                                   
New York             33   Associate in Nutrition Education                                                     Web  111111112111111111111C111111111111111111111111111111C1111C1111111C111111112111111111111333322212122211111111221112AAAAAAAA                                                   AAAAAAA                                                   AAAAAAA                                                   AAAAAA                                                   
Nebraska             28   Nutrition Services Director                                                          Web  22222222222222222222222222222222122112212221122221122121221221111121211121121111221212111121111212121111212122221121221212                                                   2AAAAAA                                                   1222212                                                   221222                                                   
Montana              27   School Foods Unit Director                                                           Web  11221111222212211122111122121111112211112212112111121121121221111111111221221111122211112122221112121111111122221121222212                                                   2AAAAAA                                                   1222212                                                   221222                                                   
Connecticut          07   Consultant                                                                           Web  111111111112111111111111121211111111111112121111111111112212212121122122112211212222222111121111111211111111211212AAAAAAAA                                                   AAAAAAA                                                   AAAAAAA                                                   AAAAAA                                                   
Oregon               38   Director - Child Nutrition                                                           Web  1111211122221111111121112222111111111111111111C111111111111111111111111111211221111111111121111111111111111122211121212112                                                   1222221Literature                                         1212212                                                   221222                                                   
North Carolina       34   Section Chief                                                                        Web  11111111222211111111112122121111111111112111111121121111111221122121111111121111111112111111111111111111111122111121211212                                                   2AAAAAA                                                   1221212                                                   211222                                                   
New Mexico           32   Director, School & Family Support Bureau                                             Web  11112111211C111111111121211111111111112112111121111211111112211C21111111111C11111111111111122222111221111121111112AAAAAAAA                                                   AAAAAAA                                                   AAAAAAA                                                   AAAAAA                                                   
Nevada               29   Director, Child Nutrition and School Hea                                             Web  22221221221222212222122122122221122212212212122121122112222221222122122222221222122222213331122212112111212122221121112122                                                   2AAAAAA                                                   1212222                                                   212222                                                   
South Carolina       41   Director, Office of Health & Nutrition                                               Web  11111111111111111C11111111111111111111111111111111111111111221111111111111111111111111112111121111111111112121121111221222                                                   1122222                                                   1121222                                                   222211ServSafe and HACCP                                 
Wisconsin            50   Director, School Nutrition Team                                                      Web  12222111221212111222222122121111111111112211111111111111111221212111212221221221122111212222222212121111112122211121122222                                                   2AAAAAA                                                   1222221Schools                                            222222                                                   
