Florida              10   Physical Education Coordinator                                   Web       11122111122121221122122112122121221222222122112222221221222211111111111222111111111111111112222AAAAA1222222212221222211111222221212222122112221121211122222211112222                                                   2AAAAA                                                   122221Educational Leadership                             111
Minnesota            24   Education Specialist                                             Web       11222221222222111222222212121111111222122222211121111111122212221111111211111111121111111112112AAAAA111112111111111221111111122121111111111221112222112121222AAAAAAA                                                   AAAAAA                                                   AAAAAA                                                   AAA
California           05   Physical Education Consultant                                    Web       111111111221112111121111111121112111122221111111221111211112212211111111111111111111111111111111111111111111222222222222222222222222221121212121211C1111122211122122                                                   2AAAAA                                                   122122                                                   111
West Virginia        49   Coordinator of Health and Phys. Ed.                              Web       11222212121111111111111111111111111111221111111111111111111121111111111111111C11111111111111111112111C11222211111111111111211111111211111111111111111111112111112222                                                   2AAAAA                                                   122221Special Education                                  111
Arkansas             04   HIV AIDS Education Coordinator                                   Web       11222222222222222221111121112212222211C21111121112211221221111111111111111111111111112111112221222222111211112111121221111211222112221112121212121211112222212AAAAAA                                                   AAAAAA                                                   AAAAAA                                                   AAA
Massachusetts        22   Director,  Coordinated School Health                             Web       12111212111111111111222221122222221112122222222222222222111222221122112222111111122211111112222AAAAA111122221222222212111122222111212211222221112122112212222AAAAAAA                                                   AAAAAA                                                   AAAAAA                                                   AAA
Mississippi          25   Physical Activity, Nutrition, and Tobacc                         Web       11222222122222211221111111111111211111111111111121111111111122121111111111111111111111111111112AAAAA1111122112111122222111221211212111111111211111111111112111112222                                                   112222                                                   121222                                                   111
Michigan             23   Health Education Consultant                                      Web       11112212211221111211111121112121112222221112121111111111122222211111111122111111112211111111212AAAAA111122221121111222222122222221221212111221112122111211122AAAAAAA                                                   AAAAAA                                                   AAAAAA                                                   AAA
Nebraska             28   Coordinated School Health Director                               Web       11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111112AAAAA1111122212111122121111212211112211113111112121111121112211112222                                                   122221Recreation                                         2AAAAA                                                   111
Montana              27   HIV/Pregnancy Prevention Education                               Web       11222222222222222122111121112112111122221111121112122211112222221111111222111111122211111112222AAAAA122212222222222222222222222222221133332121212122212222222AAAAAAA                                                   AAAAAA                                                   AAAAAA                                                   AAA
New York             33   CSHP Director                                                    Web       12222222222222212222122222222222212222211111122112121111222222221111111212111111122211111112222AAAAA1222222222222222222221222222212212113321222121222122222111112222                                                   2AAAAA                                                   112222                                                   111
Connecticut          07   Consultant                                                       Web       11111111111111111111111111111111112111111111111111111111211211111111111111111111111C11111111111121111222222211111111111111111111212111112111111121111121112211112222                                                   2AAAAA                                                   122122                                                   111
Oregon               38   Sexuality Education Specialist                                   Web       111121111121111111C1112111112111111111111112111112111111111121111111111111111111111111111111112AAAAA1111111111212111111111211111112111111111211111212122222112AAAAAA                                                   AAAAAA                                                   AAAAAA                                                   AAA
North Carolina       34   Chief Health and Community Relations                             Web       11111111121111111111111111121111111111121111111121111111111111111111111111111111111111111111112AAAAA1222122212221111111111222221212211112211112121212122111211112222                                                   2AAAAA                                                   121222                                                   111
New Mexico           32   Asst. Dir., School/Family Support Bureau                         Web       11222122122112211111222122222122211111221222122222212211111112121111111122111111111211111111122AAAAA1121222221211211122222222221112211111111221111111122212111112222                                                   122221Science                                            112222                                                   111
South Carolina       41   Health & Physical Education Consultant                           Web       11222212112211212222111111112112211212111111111111112121122221111111111111111111111111111111111111121111222211111111211112222222222111112111211121111111222211121222                                                   112222                                                   121222                                                   222
Nevada               29   Health Education Program Professional                            Web       11221111122122111112221111122122111112111221111122122111111212121111111212111111121211111112122AAAAA11112222112212111111122222211111111131112111212C2121112211121222                                                   122221Education                                          121222                                                   222
Wisconsin            50   Health & Physical Education Consultant                           Web       11222122222222222122222222222211212121111112212122211111112111111111111111111111111111111111111122121222222211111112111111212111112111112111211111121112121211122221Biology                                            2AAAAA                                                   121222                                                   333
Wyoming              51   Program Consultant                                               Web       122222222222222221222222222222222C2122222222222222222222212222221111111222111111122211111112222AAAAA111111112222222222222222222122222C33222222222222222222222AAAAAAA                                                   AAAAAA                                                   AAAAAA                                                   AAA
Iowa                 16   Physical Education Consultant                                    Web       2ACCCCC1C22222222222222222222222222222221111111111111111112211112AAAAAA2222AAAAAA2222AAAAAA2222AAAAA1111222211121111211111112212222211111121112111112112221111122122                                                   121222                                                   122122                                                   111
New Hampshire        30   Systems Specialist                                               Web       11222222222222222222222222222222222222222111221112111111221222221111111222111111122211111112222AAAAA1222222222222222222222222222221222222222222221222112222211112222                                                   122122                                                   122122                                                   111
Missouri             26   Asst. Comm., College & Career Readiness                          Web       112222222222222221221111211121111111112211111111121111111112222211111112221111111222111111122211221211111111111111111111111111111112111111C1C1C11121111CCCC12AAAAAAA                                                   AAAAAA                                                   AAAAAA                                                   AAA
District Of Columbia 09   Director, Wellness and Nutrition Services                        Web       11112212221111111211112111221111111211221112111221111111121112111111111121111111112111111111211121112222111112211122222221211222112211122111112111111221122212AAAAAA                                                   AAAAAA                                                   AAAAAA                                                   AAA
Colorado             06   Physical Education and Health Consultant                         Web       1111111111112211111C11111121112211111121111111111111111C11111111111C111222111111122211C11112222AAAAA1222222211111121211111111111111211111111111111111122122211112222                                                   2AAAAA                                                   2AAAAA                                                   111
Tennessee            43   Executive Director, Coord.School Health                          Web       11222121221111111111222121111111111111121222111111111111111121111111111111111111111111111111111112121222111112111111111111221111111211111111111111111111111111112222                                                   2AAAAA                                                   112222                                                   111
Kentucky             18   Coordinated School Health Project Dir.                           Web       11122121211122111211111112211122111211121111112221122211121122111111111211111111121111111112112AAAAA122222C212211222221112222111112111111111211121111122112211112222                                                   2AAAAA                                                   122221School Councelor                                   111
Virginia             47   Specialist, Health, PE, and Driver's Ed                          Web       12221111121111111111222111111C111111111112211111111111111111221111111111111111111211111111121111221112221C2211111111111111111211211111112112211121111121111111112222                                                   122221Spanish                                            122221Administration/Supervision                         111
North Dakota         35   Program Manager                                                  Web       11222122222222122122111111121111111112111122211121111111111222111111111211111111121111111112112AAAAA111122221111111221111112211111211111111111111111211212222AAAAAAA                                                   AAAAAA                                                   AAAAAA                                                   AAA
Alabama              01   Ed. Specialist, Curriculum & Instruction                         Web       11C1111111111122222211111111111122222211111111111111112222221111111111111111111111111111111111112111111122221211212C211111222222C22222312211212121121111112211112222                                                   2AAAAA                                                   112222                                                   111
Pennsylvania         39   Health and Physical Ed. Advisor                                  Web       11111121222121211112111121222121211112121111121222121121111212111111111211111111121111111112112AAAAA2222122222222222222222221222212222111121212111221121121211112222                                                   2AAAAA                                                   112222                                                   111
Alaska               02   Education Specialist                                             Web       11222222222222221112111211111122111111121222222122222222111212221111111111111111111111111111112AAAAA111111111221211211221122222111212133332222222222222222222AAAAAAA                                                   AAAAAA                                                   AAAAAA                                                   AAA
Delaware             08   Health, Physical Education, CDC Programs                         Web       11111111121111111112111111121111111112221111111121111111111211111111111111111111111111111111111112121222222211111111211111212211111211111111211111112121111111112222                                                   122122                                                   122122                                                   311
Utah                 45   Health/PE Specialist                                             Web       11211121111112111122211121111112111122221211121111112111112211111111111112111111111111111111112AAAAA1111212221111111121111112211212211111122211111121122212211112222                                                   121222                                                   112222                                                   211
Hawaii               12   Acting State H/PE Educational Specialist                         Web       11111122121111112212111112121111112212111111112121111111221211111111111111111111111111111111112AAAAA1211222211111111211111112112112111112112111121211122222211112222                                                   122221Bioloty                                            122221Education                                          111
New Jersey           31   Coordinator, Health and PE                                       Web       111111122221112111221111221211C121112222111111C122211122212211121111111212111111121211111112122AAAAA1222122212121111122212C12211112211112111112121111112212211112222                                                   2AAAAA                                                   122221Educational administration                         111
Texas                44   Director of Health & Safety                                      Web       12112112211112111112112112211112111112211112112211112211111222111111111211111111121111111112111112111111222222111121122221222221121211113111111121111111212111121222                                                   122221Speech Communication (Emphasis in PE)              121222                                                   222
South Dakota         42   Health & Physical Education Coordinator                          Web       11222122222222222222111112211122111221122222122222222222222222221111111222111111122211111112222AAAAA1222122222222222222222222221222121122122222122222122222211112222                                                   122221General Science                                    2AAAAA                                                   111
Rhode Island         40   Manager, Coordinated School Health                               Web       11222221122222222122111121122222111122111111221122222111112222111111111222111111122111111112212AAAAA11112222222222212222211222122211123333CCCCCCCCCCCCCCCCCCC2AAAAAA                                                   AAAAAA                                                   AAAAAA                                                   AAA
Maryland             21   Specialist, Physical Education                                   Web       11222122222221222122222122222121222222222222C22222111122211212211111111221111111122111111112212AAAAA1111222222112112111111122212212222111121112121222122121211112222                                                   2AAAAA                                                   112222                                                   111
Idaho                13   Physical Education, Physical Activity, Nutrition and Tobacco Coo Web       11222212222222222122222212222222222122111111111121111111111211111111111111111111111111111111112AAAAA1111222211211212221111112222212111133221212121111121222211112222                                                   121222                                                   122212                                                   111
Indiana              15   Pathways Dual Credit Specialist                                  Web       1CCC212CC221222122CC2211CCC221222222CCCCCCCCCCCCCC1CCCCCCCCC22221CCCCCC2221CCCCCC22211111112222AAAAA11112222222222222222222222222CCCCC1311CCCCCCCCCCCC1CCCCC2AAAAAAA                                                   AAAAAA                                                   AAAAAA                                                   AAA
Georgia              11   Program Specialist, Health and Physical Education                Web       11222222222212222222222222222212222C1222211112222221222C221212221111111122111111112211111112221112121222122222222122222222222222122222222111222121211121221211112222                                                   122221Philosophy                                         112222                                                   111
Maine                20   Physical Education Consultant                                    Web       11111112221111111111111111211111111112111111111111111111111121111111111111111111111111111112112AAAAA1222222211111111111111111111111111111111111111112111111211112222                                                   122221Business                                           122221Special Physical Education                         111
Oklahoma             37   Director, Health/Physical Education                              Web       121222111222111111121112111222111111122211112111112211111122221111111111112AAAAAA22211111112212AAAAA1111111111111111111111111111212211111111111111111111111112AAAAAA                                                   AAAAAA                                                   AAAAAA                                                   AAA
Arizona              03   Director of School Health                                        Web       11222211121111111111111212121111111111111111111111111111111112211111111221111111122111111112212AAAAA1111222211111112211111211211212111111111111111111122121112AAAAAA                                                   AAAAAA                                                   AAAAAA                                                   AAA
Kansas               17   HIV/AIDS and Human Sexuality Education Consultant                Web       11222212221112111121222212221112111121222222112221112111112122221111111222111111122211111112222AAAAA1111111112111122122222222111222221112111212121211111122211112222                                                   122221Biology                                            121222                                                   222
Ohio                 36   Education Consultant, Curriculum and Assessment                  Web       11222122222222222222222222222222222222122222222222222222222212211111111221111111122111111112212AAAAA1111222212211112221111111222212122333122222121221121222211112222                                                   2AAAAA                                                   122122                                                   111
Vermont              46   Physical Education Consultant                                    Web       11222222212122222122111111112111111122111111111112111211222221111111111111111111111111111111112AAAAA1222222212112112222221222211211111122122212121221112122211122221Neuroscience                                       122122                                                   2AAAAA                                                   222
Louisiana            19   Education Program Consultant                                     Web       11222222222222222121222222222222222121222222222122222122212211111111111222111111122211111112222AAAAA1111111122222222222211222222212222122222112121221112211211112222                                                   122221Biology                                            122212                                                   111
Illinois             14   Principal Consultant                                             Web       11222222222122122122111122121112122122222111121121122112212211121111111111111111111111111111112AAAAA2111222222222222122222222222222221111122222122221122222211112222                                                   121222                                                   121222                                                   211
Washington           48   Program Supervisor, Health and Fitness Education                 Web       11111122122111111122111122122111111122111111121122111111112221111111111211111111121111111112112AAAAA2222122222111211111111111211212111111111212111111121111211112222                                                   122221Special Education                                  121222                                                   111
