Date, Title, Note, Hyperlink, Espanol, NIOSH Number, NTIS Number, Other Number, Category
Dec 2016,"Workplace Violence Prevention Course for Nurses","",https://www.cdc.gov/niosh/docs/2017-114/,,2017-114,,,
Dec 2016,"Preventing Deaths and Injuries of Fire Fighters During Training Exercises","",https://www.cdc.gov/niosh/docs/wp-solutions/2017-113/,,2017-113,,,Workplace Solutions
Dec 2016,"Fundamentals of Total Worker Health Approaches: Essential Elements for Advancing Worker Safety, Health, and Well-Being","",https://www.cdc.gov/niosh/docs/2017-112/,,2017-112,PB2017-101011,,
Dec 2016,"Immediately Dangerous to Life or Health (IDLH) Value Profile, Diketene [CAS® No. 674-82-8]","",https://www.cdc.gov/niosh/docs/2017-108/,,2017-108,,,
Dec 2016,"Immediately Dangerous to Life or Health (IDLH) Value Profile, 1,3-Butadiene [CAS® No. 106-99-0]","",https://www.cdc.gov/niosh/docs/2017-107/,,2017-107,,,
Dec 2016,"Immediately Dangerous to Life or Health (IDLH) Value Profile, Bromine Pentafluoride [CAS® No. 7789-30-2]","",https://www.cdc.gov/niosh/docs/2017-106/,,2017-106,PB2017-101014,,
Dec 2016,"Immediately Dangerous to Life or Health (IDLH) Value Profile, Methyl Isocyanate [CAS® No. 624-83-9]","",https://www.cdc.gov/niosh/docs/2017-105/,,2017-105,PB2017-101013,,
Dec 2016,"Immediately Dangerous to Life or Health (IDLH) Value Profile, Benzonitrile [CAS® No. 100-47-0]","",https://www.cdc.gov/niosh/docs/2017-104/,,2017-104,PB2017-101012,,
Dec 2016,"Current Intelligence Bulletin 68: NIOSH Chemical Carcinogen Policy","",https://www.cdc.gov/niosh/docs/2017-100/,,2017-100,,,CIB
Dec 2016,"Fatigue Prevention for Pilots: A Training Program for Commercial Pilots in Alaska","",https://www.cdc.gov/niosh/docs/2016-162/,,2016-162,,,
Nov 2016,"Aerial Lift Hazard Recognition Simulator","",https://www.cdc.gov/niosh/docs/2017-103/,,2017-103,,,
Oct 2016,"Seismic Monitoring Strategies for Deep Longwall Coal Mines","",https://www.cdc.gov/niosh/mining/works/coversheet1944.html,,2017-102,,RI 9700,Mining
Oct 2016,"Criteria for a Recommended Standard: Occupational Exposure to Diacetyl and 2,3-Pentanedione","",https://www.cdc.gov/niosh/docs/2016-111/,,2016-111,,,Criteria
Sep 2016,"Immediately Dangerous to Life or Health (IDLH) Value Profile for Butane","",https://www.cdc.gov/niosh/docs/2016-174/,,2016-174,,,
Sep 2016,"Immediately Dangerous to Life or Health (IDLH) Value Profile for n-Butyl Acrylate","",https://www.cdc.gov/niosh/docs/2016-173/,,2016-173,,,
Sep 2016,"Immediately Dangerous to Life or Health (IDLH) Value Profile for Hexafluoroactone","",https://www.cdc.gov/niosh/docs/2016-172/,,2016-172,,,
Sep 2016,"Immediately Dangerous to Life or Health (IDLH) Value Profile for Furan","",https://www.cdc.gov/niosh/docs/2016-171/,,2016-171,,,
Sep 2016,"Immediately Dangerous to Life or Health (IDLH) Value Profile for Chlorine Pentafluoride","",https://www.cdc.gov/niosh/docs/2016-170/,,2016-170,,,
Sep 2016,"Immediately Dangerous to Life or Health (IDLH) Value Profile for Chloroacetyl Chloride","",https://www.cdc.gov/niosh/docs/2016-169/,,2016-169,,,
Sep 2016,"Immediately Dangerous to Life or Health (IDLH) Value Profile for 1,1-Dichloro-1-Fluoroethane (HCFC-141b)","",https://www.cdc.gov/niosh/docs/2016-168/,,2016-168,,,
Sep 2016,"Immediately Dangerous to Life or Health (IDLH) Value Profile for Acrylonitrile","",https://www.cdc.gov/niosh/docs/2016-167/,,2016-167,,,
Sep 2016,"Immediately Dangerous to Life or Health (IDLH) Value Profile for Iron Pentacarbonyl","",https://www.cdc.gov/niosh/docs/2016-166/,,2016-166,,,
Sep 2016,"NIOSH List of Antineoplastic and Other Hazardous Drugs in Healthcare Settings, 2016","Supersedes <a href='/niosh/docs/2014-138'>2014-138</a>",https://www.cdc.gov/niosh/docs/2016-161/,,2016-161,,,
Sep 2016,"Staying Safe at Work: A Curriculum for Teaching Workers with Intellectual and Developmental Disabilities about Health and Safety on the Job","",https://www.cdc.gov/niosh/docs/2016-159/,,2016-159,,,
Aug 2016,"NIOSH Extramural Research and Training Program - Annual Report of Fiscal Year 2014","",https://www.cdc.gov/niosh/docs/2016-165/,,2016-165,PB2016-104787,,
Aug 2016,"NIOSH Center for Motor Vehicle Safety - Performance Measures","",https://www.cdc.gov/niosh/docs/2016-164/,,2016-164,PB2016-104798,,
Aug 2016,"NIOSH Center for Motor Vehicle Safety - Progress Report 2016","",https://www.cdc.gov/niosh/docs/2016-163/,,2016-163,PB2016-104797,,
Aug 2016,"ErgoMine Targets Ergonomics and Safety Issues in Mining","",https://www.cdc.gov/niosh/mining/works/coversheet1935.html,,2016-160,,TN 554,Mining
May 2016,"Agriculture, Forestry, and Fishing Program","",https://www.cdc.gov/niosh/docs/2016-158/,,2016-158,,,
May 2016,"Wholesale and Retail Trade Program","",https://www.cdc.gov/niosh/docs/2016-157/,,2016-157,,,
May 2016,"Transportation, Warehousing and Utilities Program","",https://www.cdc.gov/niosh/docs/2016-156/,,2016-156,,,
May 2016,"Respiratory Health Program","",https://www.cdc.gov/niosh/docs/2016-155/,,2016-155,,,
May 2016,"National Center for Productive Aging and Work","",https://www.cdc.gov/niosh/docs/2016-154/,,2016-154,,,
May 2016,"Mining Program","",https://www.cdc.gov/niosh/docs/2016-153/,,2016-153,,,
May 2016,"Economics Program","",https://www.cdc.gov/niosh/docs/2016-152/,,2016-152,,,
May 2016,"Prevent Heat Related Illness","",https://www.cdc.gov/niosh/docs/2016-151/,,2016-151,,,
May 2016,"Work Organization and Stress-Related Disorders Program","",https://www.cdc.gov/niosh/docs/2016-150/,,2016-150,,,
May 2016,"Traumatic Injury Prevention Program","",https://www.cdc.gov/niosh/docs/2016-149/,,2016-149,,,
May 2016,"Surveillance Program","",https://www.cdc.gov/niosh/docs/2016-148/,,2016-148,,,
May 2016,"Safe-Skilled-Ready Workforce Program","",https://www.cdc.gov/niosh/docs/2016-147/,,2016-147,,,
May 2016,"Services Program","",https://www.cdc.gov/niosh/docs/2016-146/,,2016-146,,,
May 2016,"Small Business Assistance Program","",https://www.cdc.gov/niosh/docs/2016-145/,,2016-145,,,
May 2016,"Public Safety Program","",https://www.cdc.gov/niosh/docs/2016-144/,,2016-144,,,
May 2016,"Personal Protective Technology Program","",https://www.cdc.gov/niosh/docs/2016-143/,,2016-143,,,
May 2016,"Occupational Health Equity Program","",https://www.cdc.gov/niosh/docs/2016-142/,,2016-142,,,
May 2016,"Nanotechnology Research Center","",https://www.cdc.gov/niosh/docs/2016-141/,,2016-141,,,
May 2016,"Manufacturing Program","",https://www.cdc.gov/niosh/docs/2016-140/,,2016-140,,,
May 2016,"Health Hazard Evaluation Program","",https://www.cdc.gov/niosh/docs/2016-139/,,2016-139,,,
May 2016,"Global Collaborations Program","",https://www.cdc.gov/niosh/docs/2016-138/,,2016-138,,,
May 2016,"Cancer, Reproductive Health and Cardiovascular Disease Program","",https://www.cdc.gov/niosh/docs/2016-137/,,2016-137,,,
May 2016,"Construction Program","",https://www.cdc.gov/niosh/docs/2016-136/,,2016-136,,,
May 2016,"Center for Motor Vehicle Safety","",https://www.cdc.gov/niosh/docs/2016-135/,,2016-135,,,
May 2016,"PPE-INFO Database","",https://www.cdc.gov/niosh/docs/2016-134/,,2016-134,,,
May 2016,"Total Worker Health&reg; Program","",https://www.cdc.gov/niosh/docs/2016-133/,,2016-133,,,
May 2016,"Center for Direct Reading and Sensor Technologies","",https://www.cdc.gov/niosh/docs/2016-132/,,2016-132,,,
May 2016,"Radiation Dose Reconstruction Program","",https://www.cdc.gov/niosh/docs/2016-131/,,2016-131,,,
May 2016,"Prevention through Design Program","",https://www.cdc.gov/niosh/docs/2016-130/,,2016-130,,,
May 2016,"Oil and Gas Extraction Program","",https://www.cdc.gov/niosh/docs/2016-129/,,2016-129,,,
May 2016,"NIOSH Industry and Occupation Computerized Coding System","",https://www.cdc.gov/niosh/docs/2016-128/,,2016-128,,,
May 2016,"Musculoskeletal Disorders Prevention Program","",https://www.cdc.gov/niosh/docs/2016-127/,,2016-127,,,
May 2016,"Immune, Dermal, and Infectious Disease Program","",https://www.cdc.gov/niosh/docs/2016-126/,,2016-126,,,
May 2016,"Hearing Loss Prevention Program","",https://www.cdc.gov/niosh/docs/2016-125/,,2016-125,,,
May 2016,"Healthcare and Social Assistance Program","",https://www.cdc.gov/niosh/docs/2016-124/,,2016-124,,,
May 2016,"Hazardous Drug Exposures in Healthcare Program","",https://www.cdc.gov/niosh/docs/2016-123/,,2016-123,,,
May 2016,"Exposure Assessment Program","",https://www.cdc.gov/niosh/docs/2016-122/,,2016-122,,,
May 2016,"Emergency Preparedness and Response Office","",https://www.cdc.gov/niosh/docs/2016-121/,,2016-121,,,
May 2016,"Engineering Controls Program<","",https://www.cdc.gov/niosh/docs/2016-120/,,2016-120,,,
May 2016,"Center for Workers' Compensation Studies","",https://www.cdc.gov/niosh/docs/2016-119/,,2016-119,,,
