"These data are consistent with data reported to CDC for Abortion Surveillance -- United States, 2012 found at http://www.cdc.gov/mmwr/pdf/ss/ss6410.pdf",,State of Maternal Residence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,State,Alabama,Alaska,Arizona,Arkansas,California**,Colorado,Connecticut,Delaware,District of Columbia,Florida**,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland**,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire**,New Jersey,New Mexico,New York (City and State),North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,US Territory,Canada,Mexico,Other foreign country,Out-of-state (exact residence unknown),Unknown residence,Total by location of service
State of Clinical Service,Alabama,"7,464 ",0 ,--,--,--,--,0 ,0 ,0 ,166 ,--,0 ,0 ,--,--,0 ,0 ,--,--,0 ,0 ,0 ,--,0 ,"1,247 ",--,0 ,0 ,0 ,0 ,--,--,--,--,0 ,--,0 ,0 ,0 ,0 ,--,0 ,109 ,--,--,0 ,--,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,9076
,Alaska,0 ,"1,563 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,--,56,1632
,Arizona,0 ,0 ,"13,129 ",--,--,--,0 ,0 ,0 ,--,--,--,0 ,--,0 ,--,0 ,0 ,--,0 ,0 ,0 ,--,--,--,--,--,0 ,--,0 ,--,--,--,0 ,0 ,0 ,--,--,0 ,--,--,--,--,--,0 ,0 ,--,0 ,--,0 ,0 ,0 ,0 ,65 ,0 ,0 ,76,13340
,Arkansas,0 ,--,0 ,"3,361 ",--,0 ,0 ,0 ,0 ,--,--,0 ,0 ,--,--,0 ,--,--,--,0 ,0 ,0 ,0 ,0 ,92 ,84 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,--,56 ,0 ,--,0 ,0 ,0 ,138 ,--,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,--,0,3782
,California**,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,Colorado,--,--,--,0 ,--,"9,072 ",0 ,0 ,0 ,--,--,0 ,--,--,--,--,--,--,0 ,--,0 ,--,0 ,--,--,--,--,67 ,--,--,--,122 ,--,--,--,--,--,0 ,--,0 ,0 ,--,0 ,--,--,--,0 ,--,0 ,--,459 ,0 ,--,0 ,0 ,0 ,--,9972
,Connecticut,0 ,0 ,0 ,0 ,0 ,0 ,"11,616 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,134 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,93 ,0 ,0 ,0 ,0 ,0 ,0 ,86 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,--,0,11955
,Delaware,0 ,0 ,0 ,0 ,--,0 ,0 ,"3,223 ",--,--,0 ,0 ,0 ,0 ,0 ,0 ,0 ,--,--,0 ,255 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,69 ,0 ,--,0 ,0 ,--,--,0 ,268 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,3823
,District of Columbia,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2615,2615
,Florida**,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,76151,76151
,Georgia,832 ,--,--,--,--,--,--,--,0 ,126 ,"27,771 ",--,0 ,--,--,0 ,--,--,--,--,--,--,--,--,69 ,--,0 ,--,--,--,--,0 ,--,172 ,0 ,--,--,0 ,--,0 ,"1,591 ",0 ,499 ,--,0 ,0 ,--,0 ,--,--,0 ,0 ,0 ,0 ,0 ,--,0,31370
,Hawaii,0 ,--,0 ,0 ,--,0 ,0 ,0 ,0 ,0 ,0 ,"2,803 ",0 ,--,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,--,0 ,0 ,0 ,0 ,--,0 ,--,0 ,--,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,--,0 ,--,0 ,--,0 ,--,2824
,Idaho,0 ,0 ,0 ,0 ,--,0 ,0 ,0 ,0 ,0 ,0 ,--,"1,379 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,--,0 ,0 ,--,0 ,0 ,0 ,--,0 ,0 ,0 ,--,--,0 ,0 ,0 ,0 ,0 ,0 ,--,0 ,--,--,0 ,0 ,0 ,0 ,0 ,--,--,0 ,0,1458
,Illinois,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"39,849 ",567 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"1,765 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,335 ,0 ,0 ,0 ,0 ,0 ,471 ,216,43203
,Indiana,0 ,0 ,--,0 ,--,0 ,0 ,0 ,0 ,--,--,0 ,--,181 ,"8,318 ",0 ,0 ,121 ,--,0 ,0 ,0 ,63 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,--,--,0 ,102 ,0 ,0 ,--,0 ,--,0 ,0 ,--,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,--,8808
,Iowa,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"3,887 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,750 ,--,4648
,Kansas,0 ,0 ,--,--,--,--,0 ,--,0 ,--,0 ,0 ,0 ,--,0 ,--,"3,655 ",--,--,0 ,0 ,0 ,--,0 ,0 ,"3,714 ",0 ,--,--,0 ,--,0 ,0 ,--,0 ,0 ,--,0 ,0 ,0 ,0 ,0 ,--,--,0 ,0 ,0 ,--,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,7451
,Kentucky,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,--,333 ,0 ,0 ,"3,379 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,--,0 ,0 ,0 ,0 ,0 ,0 ,--,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,--,0,3810
,Louisiana,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"7,767 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"1,016 ",442,9225
,Maine,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,--,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,985 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,--,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,--,0 ,0 ,0 ,--,1004
,Maryland**,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,Massachusetts,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"16,646 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,588 ,2828,20062
,Michigan,0 ,0 ,--,0 ,--,0 ,0 ,0 ,0 ,--,--,0 ,0 ,--,191 ,0 ,0 ,--,--,0 ,--,--,"22,699 ",--,0 ,--,0 ,0 ,0 ,0 ,0 ,0 ,--,--,0 ,257 ,0 ,0 ,--,0 ,--,0 ,--,--,0 ,0 ,--,--,--,--,0 ,0 ,--,0 ,--,0 ,--,23230
,Minnesota,0 ,--,--,--,--,--,0 ,--,0 ,--,--,0 ,0 ,--,--,--,--,--,--,0 ,0 ,0 ,--,"9,758 ",--,--,--,0 ,0 ,0 ,0 ,--,--,0 ,62 ,0 ,0 ,0 ,--,0 ,--,53 ,--,--,0 ,0 ,--,0 ,--,743 ,0 ,0 ,--,0 ,--,0 ,--,10701
,Mississippi,--,0 ,0 ,0 ,--,0 ,0 ,0 ,0 ,--,0 ,0 ,0 ,--,0 ,0 ,0 ,0 ,51 ,0 ,--,0 ,0 ,0 ,"2,112 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,--,--,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,--,--,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,2176
