"These data are consistent with data reported to CDC for Abortion Surveillance -- United States, 2013 found at https://www.cdc.gov/mmwr/volumes/65/ss/ss6512a1.htm?s_cid=ss6512a1_w",,State of Maternal Residence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,State,Alabama,Alaska,Arizona,Arkansas,California**,Colorado,Connecticut,Delaware,District of Columbia,Florida**,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland**,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire**,New Jersey,New Mexico,New York (city and state),North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,US Territory,Canada,Mexico,Other foreign country,Out-of-state (exact residence unknown),Unknown residence,Total by location of service
State of Clinical Service,Alabama,"6,997",0,0,--,--,0,--,0,0,95,--,0,0,--,0,0,0,--,--,0,0,0,--,0,"1,177",0,0,0,0,0,--,0,--,--,0,--,--,0,0,0,0,0,118,--,0,0,--,0,0,0,0,0,0,0,0,0,--,"8,485"
,Alaska,0,"1,361",0,0,0,--,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,0,--,0,0,0,0,0,--,0,0,0,--,0,0,0,0,0,0,--,0,79,"1,450"
,Arizona,--,0,"13,254",--,--,--,--,0,0,--,--,0,--,--,0,0,0,--,0,--,0,--,--,--,0,0,0,--,--,--,0,--,--,0,0,--,--,--,0,0,--,0,0,--,--,0,0,--,0,0,--,0,0,0,64,--,--,"13,401"
,Arkansas,0,0,0,"3,203",0,--,0,0,0,--,--,0,0,0,0,0,--,0,--,0,0,0,--,0,122,87,0,0,0,0,0,--,0,--,0,0,53,0,0,0,--,0,207,--,0,0,0,0,0,0,0,0,0,0,0,--,0,"3,730"
,California**,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,Colorado,--,--,0,--,--,"9,127",--,0,0,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,60,--,0,--,166,--,--,--,--,--,--,--,--,--,88,--,--,--,--,--,--,0,--,407,0,0,0,0,--,50,"10,199"
,Connecticut,0,0,0,0,0,0,"10,265",0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,"10,560"
,Delaware,0,0,0,0,--,0,--,"2,564",--,--,0,0,0,0,0,0,0,0,0,0,221,0,0,0,0,--,0,0,0,0,--,0,--,0,0,0,0,0,196,0,--,0,0,--,0,0,--,0,0,0,--,0,0,0,0,0,--,"3,042"
,District of Columbia,0,0,0,0,--,0,0,--,"1,093",--,--,--,0,0,0,--,0,0,0,0,681,--,--,0,0,--,0,0,0,0,0,0,--,--,0,0,0,0,--,0,--,0,--,--,0,0,745,0,--,0,0,0,0,0,0,0,0,"2,561"
,Florida**,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"72,727","72,727"
,Georgia,777,--,0,--,--,--,0,0,--,80,"27,265",0,0,--,--,0,--,--,--,--,--,--,--,--,61,--,--,0,0,0,--,0,--,132,0,--,--,0,--,0,"1,707",0,478,--,0,0,--,--,--,--,0,0,0,0,0,0,--,"30,673"
,Hawaii,0,0,0,0,--,0,0,0,0,--,0,"1,943",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,--,"1,967"
,Idaho,0,0,--,0,--,0,0,0,--,0,0,0,"1,321",--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,--,0,0,0,0,--,0,0,0,0,0,--,--,0,0,--,0,0,--,0,0,0,0,0,0,"1,375"
,Illinois,0,0,0,0,0,0,0,0,0,0,0,0,0,"37,230",953,0,0,0,0,0,0,0,0,0,0,"1,477",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,458,0,0,0,0,0,301,331,"40,750"
,Indiana,--,0,0,--,--,0,0,0,--,--,--,0,0,115,"7,599",0,0,102,0,0,0,0,115,--,0,0,0,--,--,0,0,0,--,0,0,69,--,--,--,0,0,0,--,--,0,0,0,0,0,--,0,0,0,0,0,0,154,"8,179"
,Iowa,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"3,663",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,760,0,"4,423"
,Kansas,0,0,--,--,--,0,0,0,--,--,0,0,0,--,--,--,"3,700",--,--,0,--,0,0,--,0,"3,611",0,--,--,0,0,0,0,--,0,--,--,0,--,0,0,0,--,--,--,0,--,0,0,0,0,--,0,0,0,0,--,"7,422"
,Kentucky,0,0,0,0,0,0,0,0,0,0,0,0,0,0,341,0,0,"3,216",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,--,0,0,0,0,0,--,0,0,0,0,0,0,--,0,"3,637"
,Louisiana,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"8,671",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"1,117",189,"9,977"
,Maine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,878",0,--,0,0,--,0,0,0,0,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,0,0,0,0,0,--,0,0,0,--,"1,939"
,Maryland**,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,Massachusetts,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"17,966",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,574,908,"19,448"
,Michigan,--,--,--,--,--,0,--,0,0,--,--,0,0,--,87,0,0,--,0,--,0,0,"25,412",0,0,0,--,0,0,0,--,0,--,--,0,528,--,--,--,0,--,0,--,--,0,0,--,0,--,0,0,0,--,0,0,0,--,"26,120"
,Minnesota,0,0,--,0,--,0,0,0,--,--,0,--,--,--,--,--,0,--,0,0,0,0,--,"9,031",0,--,0,--,--,0,--,0,--,0,62,0,--,0,--,--,0,--,--,--,0,0,--,--,0,674,--,0,--,--,--,0,--,"9,904"
,Mississippi,--,0,0,0,--,0,0,0,0,--,0,0,0,0,0,0,0,0,--,0,0,0,0,0,"2,116",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,170"
